,Unnamed: 0,Unnamed: 0.1,line-num,pred-model,fill-model,tokens-masked,prepend-model,sampling-strategy,premise,hypothesis,mask-filled,token_changes,fill_prob,depth,Word2Vec-Score,Bert-Score,gold-label,prepend-label,targeted-label,orig-label,new-label,orig-label-prob,same-label-prob,new-label-prob,label-changed,same-label-prob-diff,flip-class
1955,1975,1975,49879,RoBERTa-MNLI,fine-tuned,content-words,gold-label,diverse-beam,The FCC received 35 comments and 17 reply comments in response to the NPRM to which it responds in the preamble to the final rule.,NPRM had several comments and reply comments that were given to the FCC.,NPRM had several hundred comments and reply comments that were given to the FCC.,hundred comments,10.27%,2,0.9930669094265616,0.9889771342277528,contradiction,contradiction,neutral,entailment,contradiction,0.99,0.05,0.92,True,0.94,Certain-Flip
16071,16254,16254,91290,RoBERTa-MNLI,fine-tuned,content-words,gold-label,diverse-beam,Poirot had placed our two chairs in front of the open window which commanded a view of the village street. ,Poirot put our chairs in front of the door so we could run out quickly.,Poirot put our chairs in front of the window so we could run out quickly.,window,10.71%,1,0.994600488556708,0.9936310052871704,entailment,entailment,neutral,contradiction,neutral,0.99,0.0,1.0,True,0.99,Certain-Flip
3927,3971,3971,20645,RoBERTa-MNLI,fine-tuned,content-words,gold-label,diverse-beam,The take may be even larger than the student donor tally indicates.,The take could be even smaller than the tally indicates.,The take could be even bigger than the tally indicates.,bigger than,10.86%,2,0.9956570611448506,0.9903829097747804,entailment,entailment,contradiction,contradiction,entailment,1.0,0.0,0.99,True,1.0,Certain-Flip
15450,15625,15625,58254,RoBERTa-MNLI,fine-tuned,content-words,gold-label,diverse-beam,okay Ellen what kind of a car do you think you're going to buy,Ellen what kind of car do you want to buy? ,Ellen what kind of motorcycle do you want to buy?,kind of motorcycle,9.97%,5,0.987028113359458,0.9892217516899108,contradiction,contradiction,entailment,entailment,contradiction,0.98,0.0,1.0,True,0.98,Certain-Flip
16110,16293,16293,7746,RoBERTa-MNLI,fine-tuned,content-words,gold-label,diverse-beam,"But the Army shows the process can work, and can help.",The army promises that it can help if the process is used.,The army promises that it can help if a process is used.,a process,10.11%,3,0.9955008001077796,0.9911729097366332,neutral,neutral,contradiction,neutral,entailment,0.72,0.1,0.9,True,0.62,Certain-Flip
1923,1943,1943,53733,RoBERTa-MNLI,fine-tuned,content-words,gold-label,diverse-beam,you know i could i can remember the days when it only cost three cents to mail uh uh uh a letter,"I remember the days when it only costed three cents to mail a letter, that was about 15 or 20 years ago","I remember the days when it only costed 10 cents to mail a letter, that was about 15 or 20 years ago",10 cents,10.33%,1,0.9971696427517199,0.9969834089279176,neutral,neutral,entailment,neutral,contradiction,1.0,0.02,0.98,True,0.98,Certain-Flip
11795,11928,11928,51724,RoBERTa-MNLI,fine-tuned,content-words,gold-label,diverse-beam,i mean you know like i say i'm in New York and we have a state tax as well so that just cuts even more,"We have a state tax, too, and that cuts us. ","We have a local tax, too, and that cuts us.",a local,10.31%,2,0.990325073800592,0.9904873967170716,contradiction,contradiction,neutral,entailment,neutral,0.99,0.0,0.9,True,0.99,Certain-Flip
7248,7325,7325,16645,RoBERTa-MNLI,fine-tuned,content-words,gold-label,diverse-beam,"In cases where space for this ductwork was extremely limited, the air preheater was relocated.",The air preheater was relocated if the space for the ductwork was very small.,The air preheater was not relocated if the space for the ductwork was very small.,preheater was not relocated,10.23%,2,0.9975465071921072,0.990649163722992,contradiction,contradiction,entailment,entailment,contradiction,0.99,0.0,1.0,True,0.99,Certain-Flip
4424,4474,4474,12509,RoBERTa-MNLI,fine-tuned,content-words,gold-label,diverse-beam,"Look out as well for a giraffe, which indicates the Indian west coast's early contact with Africa.",The giraffe may indicate the Indian west coast's early contact with Africa.,The giraffe may indicate the Indian west coast's later contact with Africa.,coast's later,10.51%,2,0.9949012424339224,0.9899176955223083,neutral,neutral,entailment,entailment,contradiction,0.92,0.0,0.98,True,0.92,Certain-Flip
3063,3098,3098,69877,RoBERTa-MNLI,fine-tuned,content-words,gold-label,diverse-beam,"The territory's gross domestic product is expected to grow by 5 percent or 6 percent in 1997 and 1998, up from 4.7 percent in 1996.",The territory's gross deomestic product was 4 percent in 1996.,The territory's gross deomestic product was 4.7% in 1996.,4.7% in,10.21%,2,0.9706212850955828,0.9896684885025024,entailment,entailment,neutral,contradiction,entailment,0.66,0.02,0.96,True,0.64,Certain-Flip
2941,2974,2974,27209,RoBERTa-MNLI,fine-tuned,content-words,gold-label,diverse-beam,LSC is in the process of a one-year review of its prior reconfiguration decision in Michigan.,LSC is doing a one year review of its prior reconfiguration decision located in Michigan. ,LSC is doing a two year review of its prior reconfiguration decision located in Michigan.,two year,10.27%,1,0.9974129298410404,0.9968617558479308,contradiction,contradiction,entailment,entailment,contradiction,0.99,0.0,0.99,True,0.99,Certain-Flip
9795,9911,9911,80387,RoBERTa-MNLI,fine-tuned,content-words,gold-label,diverse-beam,"In other words, when a published article in a top journal presents evidence that its hypothesis is true, its hypothesis is probably false.","Whenever a journal article presents evidence to confirm its idea, its idea is proven true.","Whenever a journal article presents evidence to confirm its idea, its idea is proven false.",false.,10.68%,1,0.9951004609408391,0.9888845682144164,entailment,entailment,contradiction,contradiction,entailment,1.0,0.0,0.95,True,1.0,Certain-Flip
4919,4973,4973,15898,RoBERTa-MNLI,fine-tuned,content-words,gold-label,diverse-beam,if it's supposed to be one of the best bass fishing places they hold tournaments there and everything,"It's a great place for bass fishing, they hold tournaments there.","It's a great place for trout fishing, they hold tournaments there.",trout,10.84%,1,0.9863516584351286,0.993424117565155,contradiction,contradiction,entailment,entailment,contradiction,0.99,0.02,0.95,True,0.97,Certain-Flip
3218,3255,3255,62539,RoBERTa-MNLI,fine-tuned,content-words,gold-label,diverse-beam,The slopes are ideal for intermediate skiers and instructors are able to pay special attention to children.,These slopes are only for experienced skiers that love adrenaline.,These slopes are only for intermediate skiers that love adrenaline.,for intermediate,10.85%,1,0.9810564014583854,0.9899067878723145,entailment,entailment,contradiction,contradiction,neutral,1.0,0.0,1.0,True,1.0,Certain-Flip
13211,13357,13357,84252,RoBERTa-MNLI,fine-tuned,content-words,gold-label,diverse-beam,"The early years of the 21st century are proving to be a period of profound transition for our world, our country, and our government.","These first years of the 21st century are a period of transition for our world in general, so we have an important role in this.","These first years of the 20th century are a period of transition for our world in general, so we have an important role in this.",of the 20th,9.82%,8,0.999529540694296,0.9893962740898132,neutral,neutral,entailment,neutral,contradiction,0.94,0.17,0.8,True,0.7699999999999999,Certain-Flip
11799,11932,11932,51724,RoBERTa-MNLI,fine-tuned,content-words,gold-label,diverse-beam,i mean you know like i say i'm in New York and we have a state tax as well so that just cuts even more,"We have a state tax, too, and that cuts us. ","We have a federal tax, too, and that cuts us.",have a federal,10.17%,3,0.9926009418253342,0.9915714263916016,contradiction,contradiction,entailment,entailment,contradiction,0.99,0.0,0.51,True,0.99,Uncertain-Flip
6641,6714,6714,28979,RoBERTa-MNLI,fine-tuned,content-words,gold-label,diverse-beam,The Project Tiger campaign is doing a sterling job here to protect the king of India's jungles without neglecting the elusive leopard.,The Project Tiger campaign is performing a great job to give protection to the king of India's jungles without forgetting about the elusive leopard.,The Project Tiger campaign is performing a great job to give protection to the king of India's jungles but forgetting about the elusive leopard.,jungles but,10.25%,2,0.9986150766548968,0.9875839948654176,contradiction,contradiction,entailment,entailment,contradiction,0.99,0.23,0.76,True,0.76,Uncertain-Flip
9055,9155,9155,50098,RoBERTa-MNLI,fine-tuned,content-words,gold-label,diverse-beam,"As a candidate during the 1992 presidential election, Clinton attacked President Bush for coddling the butchers of Beijing.","During his presidential campaign in 1992, Clinton criticized his opponent for coddling Beijing. ","During the presidential election in 1992, Clinton criticized his opponent for coddling Beijing.",the presidential election,10.74%,1,0.9844346074827016,0.9836328029632568,contradiction,contradiction,entailment,entailment,contradiction,0.56,0.31,0.62,True,0.2500000000000001,Uncertain-Flip
13014,13157,13157,5856,RoBERTa-MNLI,fine-tuned,content-words,gold-label,diverse-beam,"When property is foreclosed, the property is recognized as an asset at the net present value of its estimated net cash flows.",The property is not considered an asset when it is refinanced.  ,The property is not considered an asset even when it is refinanced.,an asset even,10.42%,2,0.9976408937734598,0.9816700220108032,neutral,neutral,entailment,neutral,contradiction,0.95,0.27,0.73,True,0.6799999999999999,Uncertain-Flip
2449,2474,2474,44274,RoBERTa-MNLI,fine-tuned,content-words,gold-label,diverse-beam,But income-based insurance subsidies would allow even the poorest of the poor to share the benefits of lower premiums.),"In order to make things more even, insurance subsidies should be adjusted according to income.","In order to make things more equitable, insurance subsidies should be adjusted according to income.","things more equitable,",10.27%,1,0.992284258798369,0.9931972026824952,neutral,neutral,entailment,neutral,entailment,0.65,0.32,0.68,True,0.33,Uncertain-Flip
14044,14204,14204,32765,RoBERTa-MNLI,fine-tuned,content-words,gold-label,diverse-beam,"Take the train for long journeys, and rent a car at your destination to explore the back country.",Renting a car is more useful in the back country than taking the train.,Renting a car can be more useful in the back country than taking the train.,a car can be,10.11%,3,0.9943319563446597,0.9934448599815368,contradiction,contradiction,neutral,neutral,entailment,0.62,0.38,0.62,True,0.24,Uncertain-Flip
7561,7645,7645,31316,RoBERTa-MNLI,fine-tuned,content-words,gold-label,diverse-beam,well it's it started out as a hobby actually uh it just it developed into sort of a business uh you know we breed them and all that,We made a lot of money doing it as a hobby.,We make a lot of money doing it as a hobby.,make a lot,10.44%,2,0.9964233489207228,0.9871004819869996,neutral,neutral,contradiction,neutral,contradiction,0.78,0.3,0.66,True,0.48,Uncertain-Flip
1578,1596,1596,68043,RoBERTa-MNLI,fine-tuned,content-words,gold-label,diverse-beam,and if they're overcrowded well you know they shouldn't have gotten theirself there in the first place,They should not have been locked up in the first place if they do not like the overcrowding.  ,They should not have been locked up in the first place if they do not like the overcrowded.,first overcrowded.,10.1%,2,0.9975188600529052,0.9841724038124084,contradiction,contradiction,entailment,entailment,neutral,0.52,0.42,0.57,True,0.10000000000000003,Uncertain-Flip
5951,6013,6013,88892,RoBERTa-MNLI,fine-tuned,content-words,gold-label,diverse-beam," Working with grantees, LSC has developed and disseminated replicable models for the effective and efficient use of technology.",The grantees take part in making technological changes with the LSC.,The grantees take part in making changes with the LSC.,in making,10.54%,1,0.9861827865432404,0.9837063550949096,neutral,neutral,contradiction,neutral,entailment,0.62,0.35,0.65,True,0.27,Uncertain-Flip
14846,15014,15014,55688,RoBERTa-MNLI,fine-tuned,content-words,gold-label,diverse-beam,"I won't have troublemakers on the Range. Now the voice, too, was tired.",Anyone who causes trouble will be kicked off the Range.,Anyone who causes trouble will get kicked off the Range.,trouble will get,10.7%,2,0.9943490309338336,0.9925980567932128,neutral,neutral,contradiction,entailment,neutral,0.65,0.37,0.62,True,0.28,Uncertain-Flip
6014,6077,6077,28524,RoBERTa-MNLI,fine-tuned,content-words,gold-label,diverse-beam,"Or, perhaps most striking of all, consider a set piece in which Reich speaks to the National Association of Manufacturers.",It is absurd to imagine Reich speaking to the National Association of Manufacturers.,It is difficult to imagine Reich speaking to the National Association of Manufacturers.,difficult,10.44%,2,0.9910353349811976,0.9829933047294616,contradiction,contradiction,neutral,neutral,entailment,0.62,0.44,0.49,True,0.18,Uncertain-Flip
5847,5909,5909,20299,RoBERTa-MNLI,fine-tuned,content-words,gold-label,diverse-beam,"At a 300-lawyer firm, it would translate into about 1,300 hours a year, more than half a hard-working lawyer's billable time.","A hard working lawyer might generate less than 2,600 billable hours a year.","A hard working lawyer might generate about 2,600 billable hours a year.",about,10.54%,1,0.9887910157711194,0.9867059588432312,contradiction,contradiction,entailment,entailment,contradiction,0.96,0.34,0.54,True,0.6199999999999999,Uncertain-Flip
6128,6191,6191,10016,RoBERTa-MNLI,fine-tuned,content-words,gold-label,diverse-beam,uh dog just ran off with my shoe that's off the subject,"Oh, I just got distracted because my dog has been jumping on my feet - it's a good thing I'm wearing my shoes.","Oh, I just got distracted because my dog has been jumping on my feet - it's a good thing I'm wearing a shoe.",a shoe.,10.74%,1,0.9973282113215156,0.9956378936767578,entailment,entailment,contradiction,contradiction,neutral,0.64,0.38,0.57,True,0.26,Uncertain-Flip
10165,10283,10283,87792,RoBERTa-MNLI,fine-tuned,content-words,gold-label,diverse-beam,i guess  in a way i just i really like the summer like to uh be able to lay out or you know just be outside,The warm summer air feels great on my delicate skin.,The cold summer air feels great on my delicate skin.,cold summer air,10.21%,2,0.9926477960925294,0.9875756502151488,neutral,neutral,entailment,neutral,contradiction,1.0,0.35,0.65,True,0.65,Uncertain-Flip
15635,15813,15813,5345,RoBERTa-MNLI,fine-tuned,content-words,gold-label,diverse-beam,It might seem that research activities apply only to the knowledge base aspect of the model.,The model does not seem like it has applicable research potential.,The model does not seem like it has research potential.,has,11.05%,1,0.9912978381508644,0.9861233234405518,neutral,neutral,entailment,entailment,contradiction,0.65,0.29,0.47,True,0.36000000000000004,Uncertain-Flip
14842,15010,15010,40576,RoBERTa-MNLI,fine-tuned,content-words,gold-label,diverse-beam,"Oles and crescendos from the band mean the matador is doing well, but if you hear whistles and the cry afuera!","If the matador is doing well, there may be crescendos from the band.","If the matador isn't doing well, there may be crescendos from the band.",the matador isn't,10.21%,3,0.9972377492628414,0.9878009557724,contradiction,contradiction,entailment,entailment,contradiction,0.99,0.06,0.59,True,0.93,Uncertain-Flip
5409,5465,5465,88740,RoBERTa-MNLI,fine-tuned,content-words,gold-label,diverse-beam,"But in the case of baseball, the addition of a global--or at least national--perspective should be seen as a virtue.",A relatively large perspective in baseball may be a good thing.,A relatively large global perspective in baseball may be a good thing.,global perspective,10.64%,1,0.9911654898883384,0.9860580563545228,contradiction,contradiction,entailment,entailment,neutral,0.83,0.21,0.78,True,0.62,Uncertain-Flip
13642,13797,13797,59719,RoBERTa-MNLI,fine-tuned,content-words,gold-label,diverse-beam,Wagon train's comin'! he cried as he ran out.,"He ran out, crying that the wagon train was arriving.","He ran out, crying that the bus was arriving.",bus,10.27%,3,0.9790846804480524,0.9816652536392212,contradiction,contradiction,entailment,entailment,contradiction,0.99,0.19,0.79,True,0.8,Uncertain-Flip
6121,6184,6184,10016,RoBERTa-MNLI,fine-tuned,content-words,gold-label,diverse-beam,uh dog just ran off with my shoe that's off the subject,"Oh, I just got distracted because my dog has been jumping on my feet - it's a good thing I'm wearing my shoes.","Oh, I just got distracted because my dog has been jumping on my shoes - it's a good thing I'm wearing my shoes.",shoes,10.43%,1,0.9966996584497421,0.9911715984344482,entailment,entailment,contradiction,contradiction,neutral,0.64,0.13,0.77,True,0.51,Uncertain-Flip
5410,5466,5466,88740,RoBERTa-MNLI,fine-tuned,content-words,gold-label,diverse-beam,"But in the case of baseball, the addition of a global--or at least national--perspective should be seen as a virtue.",A relatively large perspective in baseball may be a good thing.,A relatively small perspective in baseball may be a good thing.,small,10.66%,1,0.9971017659307309,0.9899272918701172,contradiction,contradiction,entailment,entailment,contradiction,0.83,0.03,0.76,True,0.7999999999999999,Uncertain-Flip
5470,5526,5526,31878,RoBERTa-MNLI,fine-tuned,content-words,gold-label,diverse-beam,"At the foot of the castle was Nor' Loch, a large expanse of water that required draining.",There was a desert at the foot of the castle.,There was a desert at the foot of the castle too.,castle too.,10.07%,3,0.9954293502767818,0.9840341806411744,entailment,entailment,neutral,contradiction,neutral,1.0,0.21,0.79,True,0.79,Uncertain-Flip
6109,6172,6172,10016,RoBERTa-MNLI,fine-tuned,content-words,gold-label,diverse-beam,uh dog just ran off with my shoe that's off the subject,"Oh, I just got distracted because my dog has been jumping on my feet - it's a good thing I'm wearing my shoes.","Oh, I just got distracted because my dog has been jumping on my feet - it's a good thing that I'm wearing my shoes.",thing that,10.52%,2,0.9995285507761228,0.9967164993286132,entailment,entailment,neutral,contradiction,neutral,0.64,0.49,0.49,True,0.15000000000000002,Uncertain-Flip
6991,7065,7065,58565,RoBERTa-MNLI,fine-tuned,content-words,gold-label,diverse-beam,The stretch of Colorado Boulevard nearby forms the heart of Old Town Pasadena.,Most of the small shops in Old Town Pasadena have been driven out of business by malls.,Most of the small shops in Old Town Pasadena have been driven out of town by malls.,of town,10.07%,4,0.9929952461338104,0.9899574518203736,neutral,neutral,entailment,neutral,contradiction,0.97,0.28,0.72,True,0.69,Uncertain-Flip
329,333,333,53326,RoBERTa-MNLI,fine-tuned,content-words,gold-label,diverse-beam,"The directive also encouraged the creation of ISACs that could serve as mechanisms for gathering, analyzing, appropriately sanitizing, and disseminating information to and from infrastructure",The imperative pushed them towards the creation of ISACs.  ,The imperative pushed them towards the creation of ISACs only.,of ISACs only.,10.09%,3,0.9950453449263768,0.9884971976280212,contradiction,contradiction,entailment,entailment,neutral,0.98,0.22,0.74,True,0.76,Uncertain-Flip
7019,7093,7093,62988,RoBERTa-MNLI,fine-tuned,content-words,gold-label,diverse-beam,The huge blocks were hauled to the quaysides to be carried upriver.,Blocks were hauled to the quaysides so that they could travel up the river.  ,Blocks were hauled from the quaysides so that they could travel up the river.,from the quaysides,9.86%,6,0.9953805021085692,0.9833335876464844,contradiction,contradiction,neutral,entailment,contradiction,0.99,0.31,0.67,True,0.6799999999999999,Uncertain-Flip
15169,15341,15341,94327,RoBERTa-MNLI,fine-tuned,content-words,gold-label,diverse-beam,"""No, a battle."" Drew prepared to lead out.","""No, a fight,"" Drew was ready to lead out.","No,"" Drew was ready to lead out.","No,""",11.2%,1,0.9851420452706716,0.9289371371269226,contradiction,contradiction,entailment,entailment,entailment,0.99,0.99,0.99,False,0.0,Certain-Same
14650,14817,14817,30049,RoBERTa-MNLI,fine-tuned,content-words,gold-label,diverse-beam,Audacious plans were announced to move three of the most important and recreate them in exact detail on higher ground out of danger.,It was decided that saving any of them would prove too expensive and risky.,It was decided that saving any of them would prove too.,too.,11.08%,1,0.9855922199933516,0.9389370679855348,entailment,entailment,contradiction,contradiction,contradiction,1.0,0.95,0.95,False,0.05000000000000005,Certain-Same
4886,4940,4940,2967,RoBERTa-MNLI,fine-tuned,content-words,gold-label,diverse-beam,FHWA implemented a balanced approach to managing its senior executive performance in response to its 1999 employee satisfaction survey.,Only the survey was responsible for bringing out the change.,Only the survey was responsible for bringing out.,out.,11.26%,1,0.9898644272687736,0.935552716255188,neutral,neutral,entailment,neutral,neutral,0.98,0.88,0.88,False,0.09999999999999998,Certain-Same
5560,5620,5620,34791,RoBERTa-MNLI,fine-tuned,content-words,gold-label,diverse-beam,Its paneled front was carved with deeply incised patterns centering about a shield bearing arms.,The arms were the crest of Lord Montgomery of California.,The front was carved with the crest of Lord Montgomery of California.,front was carved with,10.73%,2,0.9617914882331612,0.9373500347137452,neutral,neutral,entailment,neutral,neutral,1.0,0.97,0.97,False,0.030000000000000027,Certain-Same
12756,12896,12896,54864,RoBERTa-MNLI,fine-tuned,content-words,gold-label,diverse-beam,so yeah i think so i mean i didn't want to rush school at her the whole time but,I didn't want to send her to school too early.,I didn't want to send her to.,to.,11.56%,1,0.977298408389424,0.9292292594909668,contradiction,contradiction,neutral,entailment,entailment,0.99,0.9,0.9,False,0.08999999999999997,Certain-Same
12648,12787,12787,65507,RoBERTa-MNLI,fine-tuned,content-words,gold-label,diverse-beam,He showed no signs of buckling under physical work that would have killed him on his own world.,The work involved handling wild tigers while covered in sheep blood.,The work involved handling sheep and he was covered in sheep blood.,sheep and he was,10.73%,1,0.9545834094919876,0.9375712871551514,neutral,neutral,entailment,neutral,neutral,1.0,1.0,1.0,False,0.0,Certain-Same
15177,15349,15349,94327,RoBERTa-MNLI,fine-tuned,content-words,gold-label,diverse-beam,"""No, a battle."" Drew prepared to lead out.","""No, a fight,"" Drew was ready to lead out.","No, a battle, ,"" Drew was ready to lead out.","No, battle,",10.32%,3,0.9856370300449976,0.9083275198936462,contradiction,contradiction,neutral,entailment,entailment,0.99,0.99,0.99,False,0.0,Certain-Same
6775,6848,6848,85988,RoBERTa-MNLI,fine-tuned,content-words,gold-label,diverse-beam,Others blame him for today's news media's voyeurism and disapprove of his borderline ethics (he composed scenes that he passed off as spontaneous).,Some people say he's what made the news respectful.,Some say his ethics 's what made the news respectful.,say his ethics,10.43%,1,0.9755343461953324,0.9365838170051576,entailment,entailment,contradiction,contradiction,contradiction,0.99,0.99,0.99,False,0.0,Certain-Same
14586,14751,14751,6216,RoBERTa-MNLI,fine-tuned,content-words,gold-label,diverse-beam,"One two three four  "" The Russian interrupted with a shriek: ""Do not shoot.",The Russian was going to be shot for his chronic interruptions.,The Russian was going to be shot for.,for.,11.18%,1,0.954212794199894,0.9380066990852356,neutral,neutral,contradiction,neutral,neutral,0.98,0.88,0.88,False,0.09999999999999998,Certain-Same
7475,7558,7558,62003,RoBERTa-MNLI,fine-tuned,content-words,gold-label,diverse-beam,And selected articles from SLATE will also appear in Time magazine.,Some articles in SLATE will also be in Time magazine.,Some articles in SLATE will also be in.,in.,11.65%,1,0.9806647487424944,0.9376147389411926,contradiction,contradiction,neutral,entailment,entailment,0.99,0.98,0.98,False,0.010000000000000007,Certain-Same
6146,6209,6209,34601,RoBERTa-MNLI,fine-tuned,content-words,gold-label,diverse-beam,"I always knew it."" 9 ""Rot!"" said Tommy hastily.","Tommy had always been suspicious, even when he was a boy.","Tommy had always been suspicious, even when he was.",was.,11.03%,1,0.9885109367810472,0.9384655356407166,neutral,neutral,contradiction,neutral,neutral,1.0,0.99,0.99,False,0.010000000000000007,Certain-Same
1344,1360,1360,36995,RoBERTa-MNLI,fine-tuned,content-words,gold-label,diverse-beam,yeah yeah you don't want to go out and get beat to death but,You don't want to go out and get beaten to death.,You don't want to go out and get.,get.,11.77%,1,0.9801752145083036,0.9403761029243468,contradiction,contradiction,neutral,entailment,entailment,0.99,0.95,0.95,False,0.040000000000000036,Certain-Same
3922,3966,3966,20645,RoBERTa-MNLI,fine-tuned,content-words,gold-label,diverse-beam,The take may be even larger than the student donor tally indicates.,The take could be even smaller than the tally indicates.,The take could be even smaller than.,than.,11.87%,1,0.9742660524941188,0.9386589527130128,entailment,entailment,contradiction,contradiction,contradiction,1.0,0.99,0.99,False,0.010000000000000007,Certain-Same
13099,13242,13242,94649,RoBERTa-MNLI,fine-tuned,content-words,gold-label,diverse-beam,i never put anything beyond as far as when it'll happen that i'm not real sure of if it will happen i have no doubt,He was unaware when the next stock market crash would occur.,He was unaware when the next stock market.,market.,11.22%,1,0.9731199477191252,0.9253946542739868,neutral,neutral,contradiction,neutral,neutral,0.99,0.95,0.95,False,0.040000000000000036,Certain-Same
7666,7752,7752,67511,RoBERTa-MNLI,fine-tuned,content-words,gold-label,diverse-beam,"This tiny, wood-panelled room is covered all over with lacquered paintings of flowers and fruit in rococo style.",There are paintings of flows and fruit all over the tiny wood panelled room.,There are paintings of flows and fruit all over the tiny.,tiny.,11.09%,1,0.9576020734089244,0.9305506944656372,contradiction,contradiction,entailment,entailment,entailment,0.99,0.99,0.99,False,0.0,Certain-Same
5253,5308,5308,12745,RoBERTa-MNLI,fine-tuned,content-words,gold-label,diverse-beam,"Revenue or the property itself may ultimately be distributed to the seizing entity, state or local law enforcement agencies, foreign governments, or the general fund.",Seized revenue may never be added to the general fund.,Seized revenue may never be added to the.,the.,11.08%,1,0.9793696795462146,0.9314113259315492,entailment,entailment,contradiction,contradiction,contradiction,1.0,1.0,1.0,False,0.0,Certain-Same
