,WorkTimeInSecon,Worker,flip-class,hypoID,hypothesis,keep,lab_count,maj_count,mask-type,model-label,orig-prob,premID,premise,response,model-wrong
150,737.0,A1W7I6FN183I8F,Certain-Same,10578.0,I don't think I'm as smart as him.,1.0,1.0,2.0,original,entailment,0.98,3715.0,'Because I think he's smarter than me.',entailment,False
209,1014.0,A1W7I6FN183I8F,Certain-Same,21075.0,You can have a pet if you have small children.,0.0,1.0,3.0,original,entailment,0.99,4047.0,well that's what you i mean that's what you need in a pet if your going to have small children too,entailment,False
56,345.0,A270HX8LH9LJ8W,Certain-Same,22132.0,The entrance is at the end of David Street and up an alleyway.,1.0,1.0,2.0,original,entailment,0.97,4291.0,"To reach the entrance, go back up David Street and turn left up a small alleyway.",neutral,True
272,30.0,A2615YW1YERQBO,Certain-Same,12368.0,I was trying to offend you by saying you're old.,0.0,1.0,3.0,original,contradiction,1.0,4377.0,Don't be offended because I think you're young.,contradiction,False
13,10019.0,A2615YW1YERQBO,Certain-Same,25218.0,The financial genius of the century would not be allowed to feature on the cover of Time.,1.0,1.0,2.0,original,contradiction,0.99,4895.0,That's enough to put you on the cover of Time magazine as the financial genius of the century.,contradiction,False
42,320.0,A270HX8LH9LJ8W,Certain-Same,27923.0,This guide teaches you how to find software development risks.,1.0,1.0,2.0,original,entailment,0.98,5436.0,"Appendix II of this guide describes techniques to use in identifying software development risks of delays and cost overruns, known collectively as management metrics or indicators.",entailment,False
48,182.0,A2615YW1YERQBO,Certain-Same,28141.0,Poor people in more than a couple counties in Atlanta receive help from the Atlanta Legal Aid.,1.0,1.0,2.0,original,entailment,0.98,5471.0,Atlanta Legal Aid provides civil services to poor people in five metro Atlanta counties.,entailment,False
117,106.0,A2E0LU8V4EUX5C,Certain-Same,15442.0,"55 is the Spanish country code, while 224 is the Balearic.",1.0,1.0,2.0,original,contradiction,1.0,5501.0,Spain's country code is 34; the area code for the Balearics is 971.,contradiction,False
197,42.0,A2615YW1YERQBO,Certain-Same,28773.0,The Postal Service's FY 1993 data set contains observations from about 300 routes.,0.0,1.0,3.0,original,entailment,0.99,5604.0,The Postal Service's FY 1993 data set contains observations from about 300 routes.,entailment,False
34,350.0,A270HX8LH9LJ8W,Certain-Same,28931.0,The mosque can be entered through a door on the east wall.,1.0,1.0,2.0,original,entailment,0.99,5629.0,The entrance to the mosque is through a door at the east wall above the temple complex.,entailment,False
40,57.0,A2615YW1YERQBO,Certain-Same,32842.0,He is one of the few white supremacists in the NFL.,1.0,1.0,2.0,original,contradiction,0.99,6379.0,uh-huh he's one of the few uh black quarterbacks that there are,contradiction,False
8,36.0,A2615YW1YERQBO,Certain-Same,33435.0,Kos is not the place to go to find well organized dive operators.,1.0,1.0,2.0,original,contradiction,1.0,6504.0,Kos has some well-organised dive operators at its resorts.,contradiction,False
119,1169.0,A1W7I6FN183I8F,Certain-Same,18237.0,The IOLTA program is optional for members of the court.,1.0,1.0,2.0,original,contradiction,1.0,6513.0,"Pursuant to our court rules, participation in the IOLTA program is mandatory.",contradiction,False
166,152.0,A2E0LU8V4EUX5C,Certain-Same,18892.0,It hadn't become what Vegas is known for now.,1.0,1.0,2.0,original,entailment,0.95,6771.0,But this was not yet the Las Vegas of folklore.,entailment,False
305,945.0,A1W7I6FN183I8F,Certain-Same,19049.0,DU has around 15000 students total in addition to those in the law school.,0.0,2.0,3.0,original,neutral,0.92,6842.0,"DU has a law- student body of about 1,000, and CU's population is about half that.",neutral,False
203,44.0,A2615YW1YERQBO,Certain-Same,37694.0,This is a place where only important people are buried.,0.0,1.0,3.0,original,neutral,0.99,7407.0,"Buried here are the economist Adam Smith, the poet Robert Ferguson, and Mrs. Agnes McLehose (the Clarinda of Burns's love poems).",neutral,False
299,1873.0,A1W7I6FN183I8F,Certain-Same,21324.0,"Susan McDougal isn't interested in making up with her ex, William Jefferson Clinton.",0.0,2.0,3.0,original,entailment,0.94,7586.0,A Drudge Report world  Susan McDougal no longer carries a torch for ex-lover William Jefferson Clinton.,entailment,False
175,34.0,A2615YW1YERQBO,Certain-Same,21765.0,I have never had enough luck to make a hole in one.,1.0,1.0,2.0,original,neutral,0.92,7741.0,yeah well i guess there's a certain amount of luck in any hole in one,neutral,False
224,884.0,A1W7I6FN183I8F,Certain-Same,40777.0,Officials from one organization were also concerned that they may be getting underpaid,0.0,1.0,3.0,original,neutral,0.97,8030.0,Officials from one organization were also concerned that they might be held responsible if their advice adversely affected a vendor.,neutral,False
24,514.0,A2615YW1YERQBO,Certain-Same,41274.0,The intake systems of the past are perfectly viable and don't need replacing.,1.0,1.0,2.0,original,contradiction,0.99,8124.0,We have observed that many more clients receive some assistance when technologically sophisticated intake systems are installed.,neutral,True
164,597.0,A270HX8LH9LJ8W,Certain-Same,23374.0,He has no idea who I am and wants to know.,1.0,1.0,2.0,original,contradiction,0.95,8284.0,"He told me, 'You don't have to tell me who you are.",neutral,True
125,10133.0,A2615YW1YERQBO,Certain-Same,24892.0,Rennie has a foster son and they are very close.,1.0,1.0,2.0,original,neutral,0.99,8781.0,Rennie's foster son was now riding inspection between one water-hole fortification and another.,neutral,False
19,2457.0,A1W7I6FN183I8F,Certain-Same,48610.0,"After staying for a minute, he took a deep breath.",1.0,1.0,2.0,original,entailment,0.99,9527.0,"He stayed so for a minute or two, then drew a deep breath, and pressed it ever so slightly inward.",entailment,False
52,176.0,A2615YW1YERQBO,Certain-Same,49106.0,Separating the modules for each agency is a great idea.,1.0,1.0,2.0,original,neutral,0.97,9610.0,"A separate module for each subscribing agency is developed with a unique URL, allowing each agency control of agency data and access authority.",neutral,False
200,560.0,A270HX8LH9LJ8W,Certain-Same,50234.0,"Many Chinese moved to the colony, much to people's surprise.",0.0,1.0,3.0,original,entailment,0.99,9803.0,A surprise was the sizable number of Chinese who chose to move to the colony.,entailment,False
86,1017.0,A1W7I6FN183I8F,Certain-Same,5266.0,They have never been outside and do not want to go outside.,1.0,1.0,2.0,original,neutral,0.98,9934.0,yeah and they'll go to the doors and stand up on the screen door looking out but uh they're not too interested in going outside i,neutral,False
191,240.0,A270HX8LH9LJ8W,Certain-Same,52588.0,"The coverage of location, exposure, sample size, is miniscule.",0.0,1.0,3.0,original,contradiction,0.99,10282.0,"It includes a much larger sample size and longer exposure interval, and covers more locations.",contradiction,False
17,385.0,A270HX8LH9LJ8W,Certain-Same,54493.0,"Vishnu can be many things, but can never be human.",1.0,1.0,2.0,original,neutral,0.99,10598.0,"Vishnu, for example, can be Narayan, floating on the primeval ocean or lying on a bed of snakes.",neutral,False
160,301.0,A2E0LU8V4EUX5C,Certain-Same,30613.0,"you have definitely watched television recently, we watched the television together this morning.",1.0,1.0,2.0,original,contradiction,0.96,10685.0,but uh i don't i assume you have seen on television recently as probably the whole country has the beating of the man in Los Angeles,neutral,True
115,53.0,A2615YW1YERQBO,Certain-Same,30638.0,When he did five to seven copy pastes he felt even more secure than he did the night before.,1.0,1.0,2.0,original,neutral,1.0,10692.0,"And when he did five to seven copypastes, which resulted in two smaller contracts, he felt even more than secure.",neutral,False
212,434.0,A1W7I6FN183I8F,Certain-Same,55123.0,They would declare for the revolution after a long wait of deliberation.,0.0,1.0,3.0,original,contradiction,0.98,10709.0,"They would publish it broadcast throughout England, and declare for the revolution 63 without a moment's hesitation.",contradiction,False
32,64.0,A2615YW1YERQBO,Certain-Same,56469.0,My concern it that American government forcing us to go.,1.0,1.0,2.0,original,entailment,0.99,10973.0,right right it it can be annoying and my other concern concern is is the American government going to force us to go,entailment,False
154,9861.0,A2615YW1YERQBO,Certain-Same,31662.0,There is some fun to be had in Griffith Park.,1.0,1.0,2.0,original,entailment,0.97,11045.0,"Several other attractions are nearby, all in Griffith Park, including train, pony, and stagecoach rides, a carousel, and the Griffith Observatory.",entailment,False
194,42.0,A2E0LU8V4EUX5C,Certain-Same,57300.0,The temperatures in winter time are not enough to create ice.,0.0,2.0,3.0,original,contradiction,0.99,11101.0,In the winter the falls form a spectacular cascade of icicles.,contradiction,False
218,49.0,A2E0LU8V4EUX5C,Certain-Same,58198.0,Is there a common cause with the major international puzzles?,0.0,2.0,3.0,original,entailment,0.98,11294.0,The Six Major Puzzles in International  Is There a Common Cause?,entailment,False
2,147.0,A2E0LU8V4EUX5C,Certain-Same,62074.0,Sant Joan is the name of a large city on the island.,1.0,1.0,2.0,original,contradiction,1.0,12000.0," You may want to visit some of the other inland hamlets Santa In??s, Sant Joan, and Sant Carles, to name just three.",contradiction,False
146,162.0,A1W7I6FN183I8F,Certain-Same,34957.0,Seeing lots of numbers without understanding their significance can really make people understand things.,1.0,1.0,2.0,original,contradiction,0.98,12134.0,Both ESPN and CNBC offer an infinite supply of statistics that give the viewer the illusion of deeper understanding.,contradiction,False
182,1468.0,A1W7I6FN183I8F,Certain-Same,63802.0,If you get into the wrong crowd in school you can end up on hard drugs.,0.0,2.0,3.0,original,neutral,1.0,12363.0,they get into a wrong crowd first and then they start a drug problem,entailment,True
296,322.0,A1W7I6FN183I8F,Certain-Same,35789.0,"The pro bono services are not very popular with lawyers, especially experienced ones.",0.0,1.0,3.0,original,neutral,0.96,12411.0,"He fished me in, Concannon said, adding, People need lawyers, and there's a growing amount of poor that need pro bono services.",neutral,False
36,150.0,A2615YW1YERQBO,Certain-Same,64534.0,"To get me out, it was worth fifty thousand dollars. ",1.0,1.0,2.0,original,entailment,0.99,12507.0,"Then I told him that it was worth just about fifty thousand dollars to me if he'd get out.""",entailment,False
266,422.0,A1W7I6FN183I8F,Certain-Same,7118.0,"The redoubt stands to this day, it's style never changing. ",0.0,1.0,3.0,original,contradiction,0.93,13178.0,"It began as a Roman redoubt, but its present style was devised in the 16th century.",contradiction,False
142,129.0,A2E0LU8V4EUX5C,Certain-Same,38517.0,"I could not progress to the second statement without the first being true, she wrote.",1.0,1.0,2.0,original,entailment,0.98,13311.0,"I could not move on to the second sentence until the first sentence sounded true, she writes somewhat diffidently.",entailment,False
275,295.0,A270HX8LH9LJ8W,Certain-Same,38939.0,The Eglise Sainte-Croix has beautiful stained glass windows.,0.0,1.0,3.0,original,neutral,0.99,13466.0,"The parish church, the Eglise Sainte-Croix, is worth a visit for the splendid 16th-century altarpiece by Jean Bongartz of Colmar.",neutral,False
152,386.0,A1W7I6FN183I8F,Certain-Same,40855.0,Each tradition contributes to and is part of Jerusalem's greatness.,1.0,1.0,2.0,original,entailment,0.97,14106.0,But each tradition is a component of Jerusalem's greatness.,entailment,False
287,36.0,A2615YW1YERQBO,Certain-Same,45148.0,There is a mix of Byzantine churches and family homes there.,0.0,1.0,3.0,original,entailment,0.97,15519.0,"Small Byzantine churches sit on street corners, side by side with family homes.",entailment,False
104,1561.0,A1W7I6FN183I8F,Certain-Same,8869.0,"The supplier will certainly not be able to produce it on time, at the right price and quality.",1.0,1.0,2.0,original,contradiction,0.95,16003.0,"Currently, despite being in production, it is unclear whether the supplier of the seeker can produce it within cost, schedule, and quality targets.",contradiction,False
74,1075.0,A1W7I6FN183I8F,Certain-Same,9093.0,He is the picture of self-deprecation and nothing like William Weld.,1.0,1.0,2.0,original,contradiction,1.0,16317.0,He can indulge in the self-serving grandstanding and self-effacing silliness that only William Weld could possibly pull off.,contradiction,False
281,85.0,A2615YW1YERQBO,Certain-Same,47669.0,"The route to our destination is lined by mountains, cliffs, and farmland.",0.0,1.0,3.0,original,contradiction,0.98,16320.0,"And in between, you'll come upon the historic towns of Toulouse, Albi, and Montpellier.",neutral,True
177,49.0,A2615YW1YERQBO,Certain-Same,48708.0,"His psyche had many negative things inside, some of it rancid.",1.0,1.0,2.0,original,entailment,0.92,16648.0,"Surrealism, a style he borrowed from Max Ernst and Yves Tanguy, gave him a way to express the rancid contents of his own psyche.",entailment,False
278,370.0,A1W7I6FN183I8F,Certain-Same,50981.0,The Constant 2000 National Saving Rate simulation might reveal how saving more results in higher economic growth over time.,0.0,1.0,3.0,original,entailment,0.98,17451.0,The Constant 2000 National Saving Rate simulation is intended only to show how saving more results in higher economic growth over the long term.,entailment,False
293,917.0,A270HX8LH9LJ8W,Certain-Same,52914.0,"I started to do it again, just like I did years ago.",0.0,2.0,3.0,original,neutral,0.96,18033.0,hum-um no i used to i really did uh years ago and uh i was thinking about that not too long ago that,contradiction,True
302,1190.0,A1W7I6FN183I8F,Certain-Same,54498.0,You can easily walk from the port to the passeig.,0.0,2.0,3.0,original,neutral,0.93,18549.0,The port is virtually round the corner from the passeig.,entailment,True
131,54.0,A1W7I6FN183I8F,Certain-Same,57543.0,People will love the spiting of tobacco juice into the cup.,1.0,1.0,2.0,original,neutral,0.99,19613.0,Spitting tobacco juice into the Styrofoam cup is a nice detail.,neutral,False
290,2128.0,A1W7I6FN183I8F,Certain-Same,57865.0,King Louis XIV was known to refuse medical treatment and preferred the advice of religious fanatics.,0.0,1.0,3.0,original,neutral,0.97,19722.0,Louis XIV died here in 1715 of gangrene of the leg.,neutral,False
242,499.0,A270HX8LH9LJ8W,Certain-Same,11013.0,There is no good way to monitor and report emissions.,0.0,1.0,3.0,original,contradiction,0.99,20008.0,"To ensure that the cap is met and to provide credibility, sources also are required to install systems that continuously monitor and report emissions.",contradiction,False
84,178.0,A2E0LU8V4EUX5C,Certain-Same,11028.0,They did not want to run anything more than a day at a time.,1.0,1.0,2.0,original,neutral,0.98,20012.0,"You will find that testing with computer programs often takes less than a day, depending on the complexity of the file.",neutral,False
135,281.0,A270HX8LH9LJ8W,Certain-Same,59131.0,It was not a shock that Dave had made it.,1.0,1.0,2.0,original,contradiction,0.99,20128.0,"You're alive!""  Dave was still amazed at that himself.",contradiction,False
260,800.0,A1W7I6FN183I8F,Certain-Same,12216.0,They were not enjoying themselves due to no erotic opportunities emerging.,0.0,1.0,3.0,original,contradiction,0.95,22397.0,And no sooner had I begun to enjoy my Slateness than glorious erotic opportunity went a-glimmering.,contradiction,False
59,71.0,A2E0LU8V4EUX5C,Certain-Same,13581.0,There are no scale models of the villa at all.,1.0,1.0,2.0,original,contradiction,1.0,24933.0,"To get a clear sense of the original, start with the villa's excellent scale model.",contradiction,False
236,454.0,A270HX8LH9LJ8W,Certain-Same,16104.0,"There is not a chance they can, mathematically they are no longer in the play off race.",0.0,1.0,3.0,original,entailment,0.99,29849.0,because uh there's no way they can even i think mathematically they're out of the play-off scene now,entailment,False
230,276.0,A270HX8LH9LJ8W,Certain-Same,16397.0,"I pull my Jeep with it, not my Oldsmobile.",0.0,2.0,3.0,original,contradiction,1.0,30305.0,i've got a big Oldsmobile that i pull it with when i,neutral,True
239,2416.0,A1W7I6FN183I8F,Certain-Same,17440.0,Mrs. Inglethorp will not take any more of her medicine after Monday.,0.0,2.0,3.0,original,entailment,0.99,32065.0,On Monday Mrs. Inglethorp will take the last dose of her medicine.,entailment,False
107,222.0,A270HX8LH9LJ8W,Certain-Same,18606.0,Climate change has not been previously recognized as a serious issue.,1.0,1.0,2.0,original,neutral,0.95,34035.0,We agree that climate change is a serious issue we need to address.,neutral,False
93,45.0,A2615YW1YERQBO,Certain-Same,18704.0,The influence is more clearly felt at the Villa Nazionale than at Stra.,1.0,1.0,2.0,original,neutral,0.97,34167.0,"The influence is clear even in the most spectacular of the Brenta villas, at Stra, the opulent Villa Pisani, or Villa Nazionale.",neutral,False
251,160.0,A1W7I6FN183I8F,Certain-Same,19010.0,Government bonds are performing worse now than five years ago.,0.0,1.0,3.0,original,neutral,0.99,34742.0,The stock market historically has a higher rate of return than government bonds do.,neutral,False
78,112.0,A1W7I6FN183I8F,Certain-Same,20191.0,The industry need more people like us who mean business.,1.0,1.0,2.0,original,neutral,0.99,36791.0,we all would say who are in industry and everything we'd say hey this means business we ought to,neutral,False
263,69.0,A2E0LU8V4EUX5C,Certain-Same,23376.0,I did not want to buy more than a couple.,0.0,2.0,3.0,original,entailment,0.94,43000.0,The main reason I only bought one or two was I knew that after playing them I would generally be stuck with them.,entailment,False
227,1580.0,A1W7I6FN183I8F,Certain-Same,26754.0,We set all schedules and time limits for the members.,0.0,1.0,3.0,original,contradiction,1.0,49170.0,members by permitting them to set their own schedules and deadlines.,contradiction,False
254,533.0,A270HX8LH9LJ8W,Certain-Same,27447.0,Drew was remembering the past in the army because of the term Blue Bellies.,0.0,1.0,3.0,original,entailment,0.95,50655.0,"""Blue Bellies?"" Drew was wrenched back months, a year, by that old army slang.",entailment,False
96,177.0,A270HX8LH9LJ8W,Certain-Same,27968.0,"Before he turned his head, he was not listening.",1.0,1.0,2.0,original,neutral,0.96,51456.0,"His head turned, his attitude now one of listening concentration.",neutral,False
245,1474.0,A1W7I6FN183I8F,Certain-Same,28332.0,The mission of the visa function was discussed by some people.,0.0,1.0,3.0,original,entailment,0.99,52021.0,Some have argued that the mission of the visa function is primarily related to homeland security and that therefore the function should be located within the proposed department.,entailment,False
100,1059.0,A1W7I6FN183I8F,Certain-Same,29258.0,"If you will walk past, you will go to the Whisperer's Forest.",1.0,1.0,2.0,original,contradiction,0.96,53815.0,"From here, it's a short walk west to the grounds of Shinobazu Pond.",neutral,True
269,455.0,A1W7I6FN183I8F,Certain-Same,29567.0,Individuals might save more if they realize the government is saving less.,0.0,2.0,3.0,original,neutral,0.91,54357.0,Estimating the private saving offset is complicated by the fact that individuals may respond differently to changes in government saving.,neutral,False
110,495.0,A270HX8LH9LJ8W,Certain-Same,31823.0,We chose more than a handful of companies in the private sector.,1.0,1.0,2.0,original,entailment,0.94,58558.0,We selected six private sector companies and three state governments to serve as our case studies.,entailment,False
257,55.0,A2615YW1YERQBO,Certain-Same,35045.0,The brawl is based on principles where no one loses.,0.0,2.0,3.0,original,entailment,0.95,64885.0,The Manson fight is a morality play in which everyone wins.,neutral,True
69,1813.0,A1W7I6FN183I8F,Certain-Same,38252.0,The Covered Market is more boring than the one in Istanbul.,1.0,1.0,2.0,original,contradiction,1.0,70716.0,"Beyond the caravanserai is the town's Covered Market, which is as interesting to explore as Istanbul's.",contradiction,False
248,2332.0,A1W7I6FN183I8F,Certain-Same,39520.0,We do not try and get donations in certain locations.,0.0,2.0,3.0,original,entailment,0.99,73132.0,We do not solicit donations in locations where we have not received written confirmation of compliance.,entailment,False
71,1347.0,A1W7I6FN183I8F,Certain-Same,40472.0,The pirates were at port and chose not to patrol the ocean.,1.0,1.0,2.0,original,contradiction,1.0,74881.0,He also had orang laut pirates patrolling the seas to extort tribute from passing ships.,contradiction,False
67,50.0,A270HX8LH9LJ8W,Certain-Same,44975.0,The Edinburgh International Festival was founded in the past decade.,1.0,1.0,2.0,original,contradiction,1.0,83328.0,The Edinburgh International Festival (held annually since 1947) is acknowledged as one of the world's most important arts festivals.,contradiction,False
80,162.0,A270HX8LH9LJ8W,Certain-Same,47288.0,The civilization of the Roman Empire did not taint the tribal culture.,1.0,1.0,2.0,original,entailment,0.99,87394.0,"Tribal culture reigned, untouched by the more sophisticated civilization of the Roman Empire.",entailment,False
