premID_1,mask-type_1,hypoID_1,premise_1,hypothesis_1,orig-prob_1,model-label_1,flip-class_1,premID_2,mask-type_2,hypoID_2,premise_2,hypothesis_2,orig-prob_2,model-label_2,flip-class_2,premID_3,mask-type_3,hypoID_3,premise_3,hypothesis_3,orig-prob_3,model-label_3,flip-class_3,premID_4,mask-type_4,hypoID_4,premise_4,hypothesis_4,orig-prob_4,model-label_4,flip-class_4,premID_5,mask-type_5,hypoID_5,premise_5,hypothesis_5,orig-prob_5,model-label_5,flip-class_5
28909,data-slices,15668,Poblete claims that the reports will be posted as soon as Congress resolves technical hurdles.,Poblete claims that the reports were lost due to technical difficulties and will never be released.,1,contradiction,Certain-Same,28909,data-slices,15669,Poblete claims that the reports will be posted as soon as Congress resolves technical hurdles.,Poblete claims that the reports were lost due to technical difficulties and will soon be released.,1,neutral,Uncertain-Flip,28909,original,15667,Poblete claims that the reports will be posted as soon as Congress resolves technical hurdles.,Poblete claims that the reports were lost due to technical difficulties and will not be released. ,1,contradiction,Certain-Same,28909,data-slices,15667,Poblete claims that the reports will be posted as soon as Congress resolves technical hurdles.,Poblete claims that the reports were lost due to technical difficulties and will.,1,contradiction,Uncertain-Same,28909,data-slices,15670,Poblete claims that the reports will be posted as soon as Congress resolves technical hurdles.,Poblete claims that the reports were lost due to technical difficulties and will be released.,1,neutral,Uncertain-Flip
131,data-slices,53,"If the job were held by someone other than Tripp, would it pay any less or involve any more work?",Would the job pay less if it were only held by Tripp?,0.99,contradiction,Certain-Flip,131,data-slices,52,"If the job were held by someone other than Tripp, would it pay any less or involve any more work?",Would the job be better if it were not held by Tripp?,0.99,entailment,Uncertain-Same,131,original,48,"If the job were held by someone other than Tripp, would it pay any less or involve any more work?",Would the job pay less if it were not held by Tripp? ,0.99,entailment,Certain-Same,131,data-slices,48,"If the job were held by someone other than Tripp, would it pay any less or involve any more work?",Would the job pay more if it were not held by Tripp?,0.99,contradiction,Uncertain-Flip,131,data-slices,51,"If the job were held by someone other than Tripp, would it pay any less or involve any more work?",Would the job pay less if it were done by Tripp?,0.99,contradiction,Uncertain-Flip
9934,data-slices,5277,yeah and they'll go to the doors and stand up on the screen door looking out but uh they're not too interested in going outside i,They have no interest in being outside and do not want to go outside.,0.98,entailment,Uncertain-Flip,9934,data-slices,5276,yeah and they'll go to the doors and stand up on the screen door looking out but uh they're not too interested in going outside i,They have never been outside and do not ever want to go outside.,0.98,neutral,Uncertain-Same,9934,original,5266,yeah and they'll go to the doors and stand up on the screen door looking out but uh they're not too interested in going outside i,They have never been outside and do not want to go outside.  ,0.98,neutral,Certain-Same,9934,data-slices,5266,yeah and they'll go to the doors and stand up on the screen door looking out but uh they're not too interested in going outside i,They have no interest in going outside and do not want to go outside.,0.98,entailment,Uncertain-Flip,9934,data-slices,5273,yeah and they'll go to the doors and stand up on the screen door looking out but uh they're not too interested in going outside i,They've never been outside and do not want to go outside.,0.98,neutral,Certain-Same
65448,data-slices,35410,"They don't seem to have the damage they claim they have, and they're bragging about it.",They're boasting about not having any damage at all.,0.98,contradiction,Certain-Same,65448,data-slices,35416,"They don't seem to have the damage they claim they have, and they're bragging about it.",They're bragging about not having any.,0.98,contradiction,Uncertain-Same,65448,original,35411,"They don't seem to have the damage they claim they have, and they're bragging about it.",They're bragging about not having any damage at all.,0.98,contradiction,Certain-Same,65448,data-slices,35411,"They don't seem to have the damage they claim they have, and they're bragging about it.",They're bragging about it because they don't have any damage at all.,0.98,neutral,Uncertain-Flip,65448,data-slices,35412,"They don't seem to have the damage they claim they have, and they're bragging about it.",They're bragging because they don't seem to have any damage at all.,0.98,entailment,Uncertain-Flip
14942,data-slices,8166,it's so it almost needs to be something that has more impact for the individual on going,it has to be something that affects society as much as the individual,0.97,neutral,Uncertain-Flip,14942,data-slices,8162,it's so it almost needs to be something that has more impact for the individual on going,it has to be something that has more impact than the individual,0.97,contradiction,Uncertain-Same,14942,original,8165,it's so it almost needs to be something that has more impact for the individual on going,it has to be something that affects society more than the individual,0.97,contradiction,Certain-Same,14942,data-slices,8165,it's so it almost needs to be something that has more impact for the individual on going,it has to be something that affects more than the individual,0.97,contradiction,Uncertain-Same,14942,data-slices,8164,it's so it almost needs to be something that has more impact for the individual on going,it has to be something that affects the individual,0.97,entailment,Certain-Flip
42015,data-slices,22853,"Thought you were quite a meek little kid with just enough brains for my purpose.""",I expected you to be little more than a naive child.,0.96,entailment,Certain-Same,42015,data-slices,22848,"Thought you were quite a meek little kid with just enough brains for my purpose.""",I expected you to be more than a naive child.,0.96,contradiction,Uncertain-Flip,42015,original,22851,"Thought you were quite a meek little kid with just enough brains for my purpose.""",I expected you to be nothing more than a naive child.,0.96,entailment,Certain-Same,42015,data-slices,22851,"Thought you were quite a meek little kid with just enough brains for my purpose.""",I expected you to be nothing other than a naive child.,0.96,entailment,Uncertain-Same,42015,data-slices,22850,"Thought you were quite a meek little kid with just enough brains for my purpose.""",I expected you to be more intelligent than a naive child.,0.96,neutral,Uncertain-Flip
33535,data-slices,18282,"GP2 synthetic seawater, made from reagent grade chemical salts (30 ) in conjunction with natural seawater, may also be used if recommended.",There isn't much difference between real and synthetic seawater.,0.93,neutral,Certain-Same,33535,data-slices,18280,"GP2 synthetic seawater, made from reagent grade chemical salts (30 ) in conjunction with natural seawater, may also be used if recommended.",There is no difference between real and synthetic seawater.,0.93,contradiction,Uncertain-Flip,33535,original,18285,"GP2 synthetic seawater, made from reagent grade chemical salts (30 ) in conjunction with natural seawater, may also be used if recommended.",There is not much difference between real and synthetic seawater. ,0.93,neutral,Certain-Same,33535,data-slices,18285,"GP2 synthetic seawater, made from reagent grade chemical salts (30 ) in conjunction with natural seawater, may also be used if recommended.",There is too much difference between real and synthetic seawater.,0.93,neutral,Uncertain-Same,33535,data-slices,18284,"GP2 synthetic seawater, made from reagent grade chemical salts (30 ) in conjunction with natural seawater, may also be used if recommended.",There is not a difference between real and synthetic seawater.,0.93,contradiction,Uncertain-Flip
64405,data-slices,34802,"Being president is not about bucking authority, it's about being authority.",Being president will not allow you to shrug off authority but be better than that.,0.91,neutral,Certain-Same,64405,data-slices,34804,"Being president is not about bucking authority, it's about being authority.",Being president will allow you to shrug off authority but be better than that.,0.91,contradiction,Uncertain-Flip,64405,original,34803,"Being president is not about bucking authority, it's about being authority.",Being president should not allow you to shrug off authority but be better than that.,0.91,neutral,Certain-Same,64405,data-slices,34803,"Being president is not about bucking authority, it's about being authority.",Being president should not allow you to shrug off authority but be more than that.,0.91,neutral,Uncertain-Same,64405,data-slices,34806,"Being president is not about bucking authority, it's about being authority.",Being president should not allow you to shrug off authority but it's more than that.,0.91,entailment,Uncertain-Flip
5501,gradient,15449,Spain's country code is 34; the area code for the Balearics is 971.,"is the Spanish country code, while 971 is for the Balearic.",1,entailment,Certain-Flip,5501,gradient,15445,Spain's country code is 34; the area code for the Balearics is 971.,"is the Spanish country code, while 224 is for the Balearic.",1,contradiction,Uncertain-Same,5501,original,15442,Spain's country code is 34; the area code for the Balearics is 971.,"55 is the Spanish country code, while 224 is the Balearic.",1,contradiction,Certain-Same,5501,gradient,15442,Spain's country code is 34; the area code for the Balearics is 971.,"is the Spanish countrycode, while 224 is the Balearic.",1,entailment,Uncertain-Flip,5501,gradient,15451,Spain's country code is 34; the area code for the Balearics is 971.,"is the Spanish country code, while 224 is for the Balearics.",1,contradiction,Uncertain-Same
15578,gradient,45292,"Edinburgh's population grew fast between 1500 and 1650, and a maze of tall, unsanitary tenements sprouted along the spine of the High Street.","Between 1500 and 1650, Edinburgh's High Street grew rapidly as plagues devastated the population.",1,neutral,Uncertain-Flip,15578,gradient,45298,"Edinburgh's population grew fast between 1500 and 1650, and a maze of tall, unsanitary tenements sprouted along the spine of the High Street.","Between 1500 and 1650, Edinburgh's High Street grew fast as plagues devastated the population.",1,neutral,Uncertain-Flip,15578,original,45296,"Edinburgh's population grew fast between 1500 and 1650, and a maze of tall, unsanitary tenements sprouted along the spine of the High Street.","Between 1500 and 1650, Edinburgh's High Street became desolate as plagues devastated the population.",1,contradiction,Certain-Same,15578,gradient,45296,"Edinburgh's population grew fast between 1500 and 1650, and a maze of tall, unsanitary tenements sprouted along the spine of the High Street.","Between 1500 and 1650, Edinburgh's High Street became overcrowded as plague plagues devastated the population.",1,contradiction,Uncertain-Same,15578,gradient,45288,"Edinburgh's population grew fast between 1500 and 1650, and a maze of tall, unsanitary tenements sprouted along the spine of the High Street.","Between 1500 and 1650, Edinburgh's High Street became desolate as a result of the growing population.",1,contradiction,Certain-Same
15366,gradient,44784,"Fifth, there might be changes in the role the Postal Service plays in policing the fraudulent use of the mails.",The Postal Service is not doing enough with policing mail fraud.,0.98,neutral,Certain-Same,15366,gradient,44780,"Fifth, there might be changes in the role the Postal Service plays in policing the fraudulent use of the mails.",The Postal Service isn't currently policing mail fraud.,0.98,contradiction,Uncertain-Flip,15366,original,44777,"Fifth, there might be changes in the role the Postal Service plays in policing the fraudulent use of the mails.",The Postal Service isn't strict enough with policing mail fraud.,0.98,neutral,Certain-Same,15366,gradient,44777,"Fifth, there might be changes in the role the Postal Service plays in policing the fraudulent use of the mails.",The Postal Service isn't strict on mail fraud.,0.98,neutral,Uncertain-Same,15366,gradient,44781,"Fifth, there might be changes in the role the Postal Service plays in policing the fraudulent use of the mails.",The Postal Service is good enough with policing mail fraud.,0.98,contradiction,Uncertain-Flip
3447,gradient,9909,so i don't know if he's going to be in shape to,I know that he will do his best to get back in shape.,0.98,neutral,Uncertain-Same,3447,gradient,9914,so i don't know if he's going to be in shape to,I know he will do his best to get back in shape.,0.98,neutral,Uncertain-Same,3447,original,9910,so i don't know if he's going to be in shape to,I know he is trying his best to get back in shape.,0.98,neutral,Certain-Same,3447,gradient,9910,so i don't know if he's going to be in shape to,I know he is going to do his best to get back in shape.,0.98,contradiction,Uncertain-Flip,3447,gradient,9911,so i don't know if he's going to be in shape to,I know he is doing his best to get back in shape.,0.98,neutral,Certain-Same
10685,gradient,30612,but uh i don't i assume you have seen on television recently as probably the whole country has the beating of the man in Los Angeles,"you have definitely seen it on television recently, we watched the television together this morning.",0.96,contradiction,Certain-Same,10685,gradient,30618,but uh i don't i assume you have seen on television recently as probably the whole country has the beating of the man in Los Angeles,"you have seen it recently, we watched the television together this morning.",0.96,contradiction,Uncertain-Same,10685,original,30613,but uh i don't i assume you have seen on television recently as probably the whole country has the beating of the man in Los Angeles,"you have definitely watched television recently, we watched the television together this morning.",0.96,contradiction,Certain-Same,10685,gradient,30613,but uh i don't i assume you have seen on television recently as probably the whole country has the beating of the man in Los Angeles,"you have seen on television recently, we watched the television together this morning.",0.96,contradiction,Uncertain-Same,10685,gradient,30617,but uh i don't i assume you have seen on television recently as probably the whole country has the beating of the man in Los Angeles,"you have watched television recently, we watched the television together this morning.",0.96,neutral,Uncertain-Flip
8646,gradient,24359,"Finally, a question to which I know the  Murderers yell at each other.",I knew what the question was that the Murderers had yelled at each other.,0.95,entailment,Certain-Same,8646,gradient,24358,"Finally, a question to which I know the  Murderers yell at each other.",I didn't know what the answer was that the Murderers had yelled at each other.,0.95,neutral,Uncertain-Flip,8646,original,24360,"Finally, a question to which I know the  Murderers yell at each other.",I knew the answer was that the Murderers had yelled at each other.,0.95,entailment,Certain-Same,8646,gradient,24360,"Finally, a question to which I know the  Murderers yell at each other.",I knew the answer was that the Murderers had yelled at each other before.,0.95,entailment,Uncertain-Same,8646,gradient,24364,"Finally, a question to which I know the  Murderers yell at each other.",I knew the answer was that the Murderers had yelled at.,0.95,entailment,Uncertain-Same
