,flip-class,premID,premise,hypoID,hypothesis,orig-hypothesis,lab_count,maj_count,mask-type,model-label,response,model-wrong,orig-label
14,Uncertain-Flip,632.0,boring and they really don't help you a whole lot now see i went to ET and i took one course through TWU,1806.0,I took two courses to help me become a better chef through TWU.,I took two courses on how to become a better chef through TWU.,2.0,3.0,gradient,contradiction,contradiction,False,neutral
15,Certain-Same,632.0,boring and they really don't help you a whole lot now see i went to ET and i took one course through TWU,1808.0,I took a course on how to become a better chef through TWU.,I took two courses on how to become a better chef through TWU.,1.0,3.0,gradient,neutral,neutral,False,neutral
16,Uncertain-Same,1125.0,The Megaron Gyzi Museum to the north of the cable car station is housed in a beautiful 17th-century fortified house.,3080.0,There is a no cable car stop at the Megaron Gyzi Museum.,There is a cable car stop at the Megaron Gyzi Museum.,2.0,3.0,gradient,neutral,neutral,False,neutral
17,Certain-Flip,1125.0,The Megaron Gyzi Museum to the north of the cable car station is housed in a beautiful 17th-century fortified house.,3081.0,There is a 17th-century fortified house at the Megaron Gyzi Museum.,There is a cable car stop at the Megaron Gyzi Museum.,1.0,3.0,gradient,entailment,entailment,False,neutral
18,Uncertain-Same,1125.0,The Megaron Gyzi Museum to the north of the cable car station is housed in a beautiful 17th-century fortified house.,3086.0,There is a cable car that does not stop at the Megaron Gyzi Museum.,There is a cable car stop at the Megaron Gyzi Museum.,2.0,3.0,gradient,neutral,neutral,False,neutral
19,Uncertain-Flip,1125.0,The Megaron Gyzi Museum to the north of the cable car station is housed in a beautiful 17th-century fortified house.,5757.0,There is a cable car station to the south of the Megaron Gyzi Museum.,There is a cable car stop at the Megaron Gyzi Museum.,1.0,2.0,content-words,entailment,neutral,True,neutral
20,Uncertain-Same,1125.0,The Megaron Gyzi Museum to the north of the cable car station is housed in a beautiful 17th-century fortified house.,5758.0,There is a cable car that does not stop at the Megaron Gyzi Museum.,There is a cable car stop at the Megaron Gyzi Museum.,2.0,2.0,content-words,neutral,neutral,False,neutral
21,Certain-Flip,1125.0,The Megaron Gyzi Museum to the north of the cable car station is housed in a beautiful 17th-century fortified house.,5761.0,There is a 17th-century fortified house at the Megaron Gyzi Museum.,There is a cable car stop at the Megaron Gyzi Museum.,1.0,2.0,content-words,entailment,entailment,False,neutral
22,Uncertain-Same,1125.0,The Megaron Gyzi Museum to the north of the cable car station is housed in a beautiful 17th-century fortified house.,5764.0,There is not a cable car stop at the Megaron Gyzi Museum.,There is a cable car stop at the Megaron Gyzi Museum.,2.0,2.0,content-words,neutral,neutral,False,neutral
23,Uncertain-Same,1252.0,The National Park Service can also give information about facilities and events in the west coast's national park system; phone (818) 597-9192.,6375.0,The national and state parks sometimes give information about activities in their respective park areas.,The national and state parks sometimes offer joint activities in their respective park areas.,2.0,3.0,content-words,neutral,neutral,False,neutral
24,Uncertain-Same,1252.0,The National Park Service can also give information about facilities and events in the west coast's national park system; phone (818) 597-9192.,6378.0,The national and state parks sometimes offer information about their respective park areas.,The national and state parks sometimes offer joint activities in their respective park areas.,2.0,3.0,content-words,neutral,entailment,True,neutral
25,Certain-Same,1252.0,The National Park Service can also give information about facilities and events in the west coast's national park system; phone (818) 597-9192.,6385.0,The national and state parks offer joint activities in their respective park areas.,The national and state parks sometimes offer joint activities in their respective park areas.,2.0,3.0,content-words,neutral,neutral,False,neutral
26,Uncertain-Flip,1252.0,The National Park Service can also give information about facilities and events in the west coast's national park system; phone (818) 597-9192.,6402.0,The national and state parks sometimes offer information about activities in their respective park areas.,The national and state parks sometimes offer joint activities in their respective park areas.,2.0,3.0,content-words,entailment,neutral,True,neutral
27,Uncertain-Same,1265.0,"California has the highest number of people in poverty in the nation - 6.4 million, including nearly one in five children.",3490.0,Nearly one in three children in California live in poverty.,Nearly one in five children in California live in poverty.,1.0,3.0,gradient,entailment,contradiction,True,entailment
28,Uncertain-Flip,1265.0,"California has the highest number of people in poverty in the nation - 6.4 million, including nearly one in five children.",3495.0,Nearly one in two children in California live in poverty.,Nearly one in five children in California live in poverty.,1.0,3.0,gradient,contradiction,contradiction,False,entailment
29,Certain-Same,1265.0,"California has the highest number of people in poverty in the nation - 6.4 million, including nearly one in five children.",3496.0,Nearly one in five kids in California live in poverty.,Nearly one in five children in California live in poverty.,1.0,3.0,gradient,entailment,entailment,False,entailment
30,Uncertain-Flip,1265.0,"California has the highest number of people in poverty in the nation - 6.4 million, including nearly one in five children.",3497.0,Nearly one in six children in California live in poverty.,Nearly one in five children in California live in poverty.,2.0,3.0,gradient,contradiction,contradiction,False,entailment
31,Uncertain-Flip,1435.0,Curved swords hung on their hip and bows sat across their backs.,7467.0,They had bows on their backs and swords in their bags.,They had bows on their backs and arrows in their bags.,2.0,3.0,content-words,contradiction,contradiction,False,neutral
32,Certain-Same,1435.0,Curved swords hung on their hip and bows sat across their backs.,7469.0,They had bows on their backs and arrows.,They had bows on their backs and arrows in their bags.,1.0,3.0,content-words,neutral,neutral,False,neutral
33,Uncertain-Same,1435.0,Curved swords hung on their hip and bows sat across their backs.,7471.0,They had swords across their backs and arrows in their bags.,They had bows on their backs and arrows in their bags.,1.0,3.0,content-words,neutral,contradiction,True,neutral
34,Uncertain-Same,1435.0,Curved swords hung on their hip and bows sat across their backs.,7481.0,They had weapons on their backs and arrows in their bags.,They had bows on their backs and arrows in their bags.,1.0,3.0,content-words,neutral,neutral,False,neutral
35,Uncertain-Flip,2175.0,"A short walk from Uji-Yamada Station is Geku, the Outer Shrine.",6264.0,"The Outer Shrine of Uji-Yamada is called Geku, not Geku.",The Outer Shrine of Uji-Yamada is called Geku.,1.0,3.0,gradient,contradiction,contradiction,False,entailment
36,Certain-Flip,2175.0,"A short walk from Uji-Yamada Station is Geku, the Outer Shrine.",6267.0,The inner shrine of Uji-Yamada is called Geku.,The Outer Shrine of Uji-Yamada is called Geku.,1.0,3.0,gradient,contradiction,contradiction,False,entailment
37,Uncertain-Same,2175.0,"A short walk from Uji-Yamada Station is Geku, the Outer Shrine.",6270.0,The Outer Shrine of Uji-Yamada.,The Outer Shrine of Uji-Yamada is called Geku.,2.0,3.0,gradient,entailment,neutral,True,entailment
38,Uncertain-Same,2176.0,"The number of total accesses by the two firms will, however, be greater than the total experienced by the incumbent alone.",11458.0,The incumbent has experienced a high level of success during the examination.,The incumbent has experienced a high level of accesses and needs examination.,2.0,3.0,content-words,contradiction,neutral,True,contradiction
39,Uncertain-Same,2176.0,"The number of total accesses by the two firms will, however, be greater than the total experienced by the incumbent alone.",11465.0,The incumbent has experienced a high level of success and needs examination.,The incumbent has experienced a high level of accesses and needs examination.,1.0,3.0,content-words,contradiction,neutral,True,contradiction
40,Certain-Same,2176.0,"The number of total accesses by the two firms will, however, be greater than the total experienced by the incumbent alone.",11466.0,The incumbent has experienced a large increase in accesses and needs examination.,The incumbent has experienced a high level of accesses and needs examination.,1.0,3.0,content-words,contradiction,neutral,True,contradiction
41,Uncertain-Flip,2176.0,"The number of total accesses by the two firms will, however, be greater than the total experienced by the incumbent alone.",11474.0,The incumbent has experienced a high level of success that needs examination.,The incumbent has experienced a high level of accesses and needs examination.,1.0,3.0,content-words,neutral,neutral,False,contradiction
42,Uncertain-Flip,2207.0,that does sound like fun well i've gotten some good ideas from you,11636.0,"That sounds like fun, that was actually one of my ideas as well.",That one was actually one of my ideas as well.,2.0,3.0,content-words,entailment,contradiction,True,neutral
43,Certain-Flip,2207.0,that does sound like fun well i've gotten some good ideas from you,11639.0,That one was actually one I got from you as well.,That one was actually one of my ideas as well.,1.0,3.0,content-words,entailment,neutral,True,neutral
44,Uncertain-Same,2207.0,that does sound like fun well i've gotten some good ideas from you,11641.0,That sounds like one of my ideas as well.,That one was actually one of my ideas as well.,2.0,3.0,content-words,neutral,contradiction,True,neutral
45,Uncertain-Flip,2207.0,that does sound like fun well i've gotten some good ideas from you,11643.0,That one was actually one of my worst ideas as well.,That one was actually one of my ideas as well.,1.0,3.0,content-words,contradiction,contradiction,False,neutral
46,Certain-Flip,2289.0,"If you want to look at the actual menu and see what else is offered, then you should ask for  la carta.  ",1320.0,There is a way to ask for a physical menu to look at.,There is no way to ask for a physical menu to look at.,2.0,3.0,data-slices,entailment,entailment,False,contradiction
47,Uncertain-Flip,2289.0,"If you want to look at the actual menu and see what else is offered, then you should ask for  la carta.  ",1321.0,La carta is the best way to ask for a physical menu to look at.,There is no way to ask for a physical menu to look at.,1.0,3.0,data-slices,entailment,neutral,True,contradiction
48,Uncertain-Flip,2289.0,"If you want to look at the actual menu and see what else is offered, then you should ask for  la carta.  ",1322.0,There is only one way to ask for a physical menu to look at.,There is no way to ask for a physical menu to look at.,1.0,3.0,data-slices,neutral,neutral,False,contradiction
49,Uncertain-Same,2289.0,"If you want to look at the actual menu and see what else is offered, then you should ask for  la carta.  ",1323.0,There is no other way to ask for a physical menu to look at.,There is no way to ask for a physical menu to look at.,1.0,3.0,data-slices,contradiction,contradiction,False,contradiction
50,Uncertain-Same,2317.0,"Then them Rebs started playin' rough, an' we jus' gave 'em a lesson.""Fowler snorted.",12235.0,The Rebs were given a lesson and they played soft.,The Rebs were given a lesson because they played soft.,2.0,3.0,content-words,contradiction,contradiction,False,contradiction
51,Uncertain-Flip,2317.0,"Then them Rebs started playin' rough, an' we jus' gave 'em a lesson.""Fowler snorted.",12238.0,The Rebs were given a lesson because.,The Rebs were given a lesson because they played soft.,1.0,3.0,content-words,neutral,neutral,False,contradiction
52,Certain-Flip,2317.0,"Then them Rebs started playin' rough, an' we jus' gave 'em a lesson.""Fowler snorted.",12240.0,The Rebs were given a lesson because they were playing rough.,The Rebs were given a lesson because they played soft.,1.0,3.0,content-words,entailment,entailment,False,contradiction
53,Uncertain-Flip,2317.0,"Then them Rebs started playin' rough, an' we jus' gave 'em a lesson.""Fowler snorted.",12241.0,The Rebs were given a lesson because they played.,The Rebs were given a lesson because they played soft.,2.0,3.0,content-words,entailment,neutral,True,contradiction
54,Certain-Same,2776.0,Each agency's internal control over the payment process should be based on the operating needs of the agency.,7878.0,Control over the payment process should be based on the operational needs of the agency.,Control over the payment process should be based on the needs of the agency.,1.0,3.0,gradient,entailment,entailment,False,entailment
55,Uncertain-Same,2776.0,Each agency's internal control over the payment process should be based on the operating needs of the agency.,7879.0,Control over the payment process should be based on the management needs of the agency.,Control over the payment process should be based on the needs of the agency.,2.0,3.0,gradient,entailment,neutral,True,entailment
56,Uncertain-Same,2776.0,Each agency's internal control over the payment process should be based on the operating needs of the agency.,7880.0,Control over the payment process should be based solely on the needs of the agency.,Control over the payment process should be based on the needs of the agency.,1.0,3.0,gradient,entailment,neutral,True,entailment
57,Uncertain-Flip,2776.0,Each agency's internal control over the payment process should be based on the operating needs of the agency.,7881.0,Control over the payment process should be based on the financial needs of the agency.,Control over the payment process should be based on the needs of the agency.,2.0,3.0,gradient,contradiction,neutral,True,entailment
58,Uncertain-Flip,2814.0,"He chased the money-lenders out of the Temple, didn't he?",14748.0,"There were, at one time, a lot of money -lenders in the temple.","There were, at one time, money-lenders in the temple. ",1.0,3.0,content-words,neutral,neutral,False,entailment
59,Certain-Same,2814.0,"He chased the money-lenders out of the Temple, didn't he?",14758.0,"There were, at one point, money -lenders in the temple.","There were, at one time, money-lenders in the temple. ",1.0,3.0,content-words,entailment,entailment,False,entailment
60,Uncertain-Flip,2814.0,"He chased the money-lenders out of the Temple, didn't he?",14761.0,"There were, at one time, many money-lenders in the temple.","There were, at one time, money-lenders in the temple. ",1.0,3.0,content-words,neutral,neutral,False,entailment
61,Uncertain-Same,2814.0,"He chased the money-lenders out of the Temple, didn't he?",14763.0,"There were, at one point, many money-lenders in the temple.","There were, at one time, money-lenders in the temple. ",1.0,3.0,content-words,entailment,neutral,True,entailment
62,Uncertain-Flip,2878.0,Main Street's Mulan Parade is a dazzling cavalcade of Chinese acrobats and Disney film characters.,14949.0,Chinese acrobats and Disney film characters attend the Main Street's Parade in a small group.,Chinese acrobats and Disney film characters attend the Main Street's Parade in a wonderful display.,2.0,3.0,content-words,contradiction,neutral,True,entailment
63,Uncertain-Flip,2878.0,Main Street's Mulan Parade is a dazzling cavalcade of Chinese acrobats and Disney film characters.,14950.0,Chinese acrobats and Disney film characters attend the Main Street's Parade to watch the display.,Chinese acrobats and Disney film characters attend the Main Street's Parade in a wonderful display.,2.0,3.0,content-words,neutral,neutral,False,entailment
64,Uncertain-Same,2878.0,Main Street's Mulan Parade is a dazzling cavalcade of Chinese acrobats and Disney film characters.,14951.0,Chinese acrobats and Disney film characters attend the Main Street's Parade in order to put on a dazzling display.,Chinese acrobats and Disney film characters attend the Main Street's Parade in a wonderful display.,2.0,3.0,content-words,entailment,entailment,False,entailment
65,Certain-Same,2878.0,Main Street's Mulan Parade is a dazzling cavalcade of Chinese acrobats and Disney film characters.,14969.0,Chinese acrobats and Disney films characters attend the Main Street's Parade in a wonderful display.,Chinese acrobats and Disney film characters attend the Main Street's Parade in a wonderful display.,2.0,3.0,content-words,entailment,entailment,False,entailment
66,Uncertain-Flip,2961.0,"In doing so, the Congress will still need to hold agencies accountable for the homeland security missions that are not incorporated in the new department.",15352.0,"In doing so, congress will need to hold agencies accountable for missions of homeland security in the new department.","In doing so, congress will need to hold agencies accountable for missions of homeland security.",2.0,3.0,content-words,contradiction,entailment,True,entailment
67,Uncertain-Same,2961.0,"In doing so, the Congress will still need to hold agencies accountable for the homeland security missions that are not incorporated in the new department.",15356.0,"In doing so, congress will need to hold agencies accountable for the lack of homeland security.","In doing so, congress will need to hold agencies accountable for missions of homeland security.",2.0,3.0,content-words,entailment,neutral,True,entailment
68,Certain-Flip,2961.0,"In doing so, the Congress will still need to hold agencies accountable for the homeland security missions that are not incorporated in the new department.",15362.0,"In doing so, congress will need to hold agencies accountable for missions of the military.","In doing so, congress will need to hold agencies accountable for missions of homeland security.",2.0,3.0,content-words,contradiction,contradiction,False,entailment
69,Uncertain-Same,2961.0,"In doing so, the Congress will still need to hold agencies accountable for the homeland security missions that are not incorporated in the new department.",15365.0,"In doing so, congress will need to hold agencies accountable for missions of.","In doing so, congress will need to hold agencies accountable for missions of homeland security.",2.0,3.0,content-words,entailment,neutral,True,entailment
70,Certain-Same,3045.0,i you know i'm i'm tired of hearing about the polls you know you know this is how he stands such and such a day,8673.0,"The polls will be taken next week, so we won't have to hear them much longer.","The election is next week, so we won't have to hear them much longer.",1.0,3.0,gradient,neutral,neutral,False,neutral
71,Uncertain-Flip,3045.0,i you know i'm i'm tired of hearing about the polls you know you know this is how he stands such and such a day,8677.0,"The election is next week, so we won't have to hear them much.","The election is next week, so we won't have to hear them much longer.",1.0,3.0,gradient,contradiction,neutral,True,neutral
72,Uncertain-Flip,3045.0,i you know i'm i'm tired of hearing about the polls you know you know this is how he stands such and such a day,8678.0,"The election is next week, so we won't have to hear them.","The election is next week, so we won't have to hear them much longer.",1.0,3.0,gradient,contradiction,neutral,True,neutral
73,Uncertain-Same,3045.0,i you know i'm i'm tired of hearing about the polls you know you know this is how he stands such and such a day,8681.0,"The poll is next week, so we won't have to hear them much longer.","The election is next week, so we won't have to hear them much longer.",1.0,3.0,gradient,neutral,neutral,False,neutral
74,Uncertain-Same,3096.0,"They signed your name, and she fell into the trap like a lamb.""",16071.0,"They confirmed you authorized your signature, and so they knew it was real.","They confirmed you authorized your signature, and so she felt satisfied it was real.",2.0,3.0,content-words,contradiction,contradiction,False,contradiction
75,Certain-Same,3096.0,"They signed your name, and she fell into the trap like a lamb.""",16078.0,"They confirmed you authorized your signature, and so she felt satisfied it was signed by you.","They confirmed you authorized your signature, and so she felt satisfied it was real.",1.0,3.0,content-words,contradiction,contradiction,False,contradiction
76,Uncertain-Same,3096.0,"They signed your name, and she fell into the trap like a lamb.""",16082.0,"They confirmed you authorized your signature, and so she knew it was real.","They confirmed you authorized your signature, and so she felt satisfied it was real.",2.0,3.0,content-words,contradiction,contradiction,False,contradiction
77,Uncertain-Flip,3096.0,"They signed your name, and she fell into the trap like a lamb.""",16084.0,"They confirmed you authorized your signature, and so she felt it was real.","They confirmed you authorized your signature, and so she felt satisfied it was real.",2.0,3.0,content-words,neutral,contradiction,True,contradiction
78,Certain-Same,3249.0,then you got to get him to if he's going to do it you've got to twist his arm to get him to go do it,9170.0,He will do it so you only have to ask him once.,He loves doing it so you only have to ask him once.,2.0,3.0,gradient,contradiction,contradiction,False,contradiction
79,Uncertain-Same,3249.0,then you got to get him to if he's going to do it you've got to twist his arm to get him to go do it,9171.0,But he loves doing it so you only have to ask him once.,He loves doing it so you only have to ask him once.,1.0,3.0,gradient,contradiction,contradiction,False,contradiction
80,Uncertain-Same,3249.0,then you got to get him to if he's going to do it you've got to twist his arm to get him to go do it,9172.0,He's going to do it so you only have to ask him once.,He loves doing it so you only have to ask him once.,2.0,3.0,gradient,contradiction,contradiction,False,contradiction
81,Uncertain-Flip,3249.0,then you got to get him to if he's going to do it you've got to twist his arm to get him to go do it,9175.0,He will end up doing it so you only have to ask him once.,He loves doing it so you only have to ask him once.,2.0,3.0,gradient,neutral,contradiction,True,contradiction
82,Certain-Flip,3363.0,"Implementation and enforcement usually requires years of litigation, leaving the fate of America's air to the uncertainties of the courtroom.",17474.0,Litigation is time consuming and results in air quality being guaranteed by the courts.,Litigation is time consuming and results in air quality being determined by the courts.,2.0,3.0,content-words,contradiction,contradiction,False,entailment
83,Uncertain-Same,3363.0,"Implementation and enforcement usually requires years of litigation, leaving the fate of America's air to the uncertainties of the courtroom.",17484.0,Litigation is time consuming and results in outcomes that are determined by the courts.,Litigation is time consuming and results in air quality being determined by the courts.,1.0,3.0,content-words,entailment,entailment,False,entailment
84,Uncertain-Flip,3363.0,"Implementation and enforcement usually requires years of litigation, leaving the fate of America's air to the uncertainties of the courtroom.",17492.0,Litigation is expensive and results in air quality being determined by the courts.,Litigation is time consuming and results in air quality being determined by the courts.,1.0,3.0,content-words,neutral,neutral,False,entailment
85,Uncertain-Same,3363.0,"Implementation and enforcement usually requires years of litigation, leaving the fate of America's air to the uncertainties of the courtroom.",17494.0,Litigation is costly and results in air quality being determined by the courts.,Litigation is time consuming and results in air quality being determined by the courts.,1.0,3.0,content-words,entailment,neutral,True,entailment
86,Certain-Same,3378.0,ah ah my got my mom a teacup poodle not too long ago,17559.0,My mother has a teacup poodle that has shaggy white fur.,My mom has a teacup poodle that has shaggy white fur.,1.0,3.0,content-words,neutral,neutral,False,neutral
87,Uncertain-Same,3378.0,ah ah my got my mom a teacup poodle not too long ago,17561.0,My mom has a black poodle that has shaggy white fur.,My mom has a teacup poodle that has shaggy white fur.,2.0,3.0,content-words,neutral,contradiction,True,neutral
88,Uncertain-Flip,3378.0,ah ah my got my mom a teacup poodle not too long ago,17571.0,My mom has a grey poodle that has shaggy white fur.,My mom has a teacup poodle that has shaggy white fur.,2.0,3.0,content-words,contradiction,contradiction,False,neutral
89,Uncertain-Same,3378.0,ah ah my got my mom a teacup poodle not too long ago,17574.0,My dad has a teacup poodle that has shaggy white fur.,My mom has a teacup poodle that has shaggy white fur.,1.0,3.0,content-words,neutral,neutral,False,neutral
90,Uncertain-Same,3413.0,so i don't know i i i have no idea what to do about it,17793.0,I don't know what to do about what I've got.,I don't know what to do about the cold I got.,1.0,3.0,content-words,neutral,neutral,False,neutral
91,Uncertain-Same,3413.0,so i don't know i i i have no idea what to do about it,17796.0,I don't know what to do about the problem I got.,I don't know what to do about the cold I got.,2.0,3.0,content-words,neutral,neutral,False,neutral
92,Uncertain-Flip,3413.0,so i don't know i i i have no idea what to do about it,17797.0,I don't know what to do about the problem I've got.,I don't know what to do about the cold I got.,2.0,3.0,content-words,entailment,neutral,True,neutral
93,Certain-Flip,3413.0,so i don't know i i i have no idea what to do about it,17798.0,I don't know what to do about the.,I don't know what to do about the cold I got.,1.0,3.0,content-words,entailment,neutral,True,neutral
94,Uncertain-Same,3447.0,so i don't know if he's going to be in shape to,9909.0,I know that he will do his best to get back in shape.,I know he is trying his best to get back in shape.,1.0,3.0,gradient,neutral,neutral,False,neutral
95,Uncertain-Flip,3447.0,so i don't know if he's going to be in shape to,9910.0,I know he is going to do his best to get back in shape.,I know he is trying his best to get back in shape.,1.0,3.0,gradient,contradiction,neutral,True,neutral
96,Certain-Same,3447.0,so i don't know if he's going to be in shape to,9911.0,I know he is doing his best to get back in shape.,I know he is trying his best to get back in shape.,1.0,3.0,gradient,neutral,neutral,False,neutral
97,Uncertain-Same,3447.0,so i don't know if he's going to be in shape to,9914.0,I know he will do his best to get back in shape.,I know he is trying his best to get back in shape.,1.0,3.0,gradient,neutral,neutral,False,neutral
98,Uncertain-Flip,3715.0,'Because I think he's smarter than me.',10567.0,I don't think I will ever be as smart as him.,I don't think I'm as smart as him.,2.0,3.0,gradient,neutral,neutral,False,entailment
99,Certain-Same,3715.0,'Because I think he's smarter than me.',10569.0,I do not think I 'm as smart as him.,I don't think I'm as smart as him.,1.0,3.0,gradient,entailment,entailment,False,entailment
100,Uncertain-Flip,3715.0,'Because I think he's smarter than me.',10575.0,I don't think I'll ever be as smart as him.,I don't think I'm as smart as him.,2.0,3.0,gradient,neutral,neutral,False,entailment
101,Uncertain-Same,3715.0,'Because I think he's smarter than me.',10578.0,I don't think I will be as smart as him.,I don't think I'm as smart as him.,1.0,3.0,gradient,entailment,neutral,True,entailment
102,Uncertain-Same,4047.0,well that's what you i mean that's what you need in a pet if your going to have small children too,21067.0,You can have a pet but only if you have small children.,You can have a pet if you have small children.,2.0,3.0,content-words,entailment,contradiction,True,entailment
103,Uncertain-Same,4047.0,well that's what you i mean that's what you need in a pet if your going to have small children too,21069.0,You can have a pet if you have.,You can have a pet if you have small children.,2.0,3.0,content-words,entailment,neutral,True,entailment
104,Uncertain-Flip,4047.0,well that's what you i mean that's what you need in a pet if your going to have small children too,21075.0,You can have a pet if you don't have children.,You can have a pet if you have small children.,2.0,3.0,content-words,contradiction,entailment,True,entailment
105,Certain-Same,4047.0,well that's what you i mean that's what you need in a pet if your going to have small children too,21077.0,You can have a pet if you have small.,You can have a pet if you have small children.,2.0,3.0,content-words,entailment,neutral,True,entailment
106,Uncertain-Flip,4291.0,"To reach the entrance, go back up David Street and turn left up a small alleyway.",22131.0,The entrance to the store is at the end of David Street and up an alleyway.,The entrance is at the end of David Street and up an alleyway.,1.0,3.0,content-words,neutral,neutral,False,entailment
107,Uncertain-Same,4291.0,"To reach the entrance, go back up David Street and turn left up a small alleyway.",22132.0,The entrance is at the end of David Street and up an.,The entrance is at the end of David Street and up an alleyway.,2.0,3.0,content-words,entailment,contradiction,True,entailment
108,Uncertain-Same,4291.0,"To reach the entrance, go back up David Street and turn left up a small alleyway.",22136.0,The entrance is at the end of David Street and up.,The entrance is at the end of David Street and up an alleyway.,2.0,3.0,content-words,entailment,contradiction,True,entailment
109,Certain-Same,4291.0,"To reach the entrance, go back up David Street and turn left up a small alleyway.",22137.0,The entrance is at the intersection of David Street and up an alleyway.,The entrance is at the end of David Street and up an alleyway.,2.0,3.0,content-words,entailment,neutral,True,entailment
110,Uncertain-Flip,4377.0,Don't be offended because I think you're young.,12368.0,I was not trying to offend you by saying you're old.,I was trying to offend you by saying you're old.,2.0,3.0,gradient,neutral,contradiction,True,contradiction
111,Uncertain-Flip,4377.0,Don't be offended because I think you're young.,12369.0,I don't want to offend you by saying you're old.,I was trying to offend you by saying you're old.,2.0,3.0,gradient,entailment,contradiction,True,contradiction
112,Uncertain-Same,4377.0,Don't be offended because I think you're young.,12371.0,I was trying not to offend you by saying you're old.,I was trying to offend you by saying you're old.,2.0,3.0,gradient,contradiction,contradiction,False,contradiction
113,Certain-Same,4377.0,Don't be offended because I think you're young.,12376.0,I was trying to not offend you by saying you're old.,I was trying to offend you by saying you're old.,2.0,3.0,gradient,contradiction,contradiction,False,contradiction
114,Uncertain-Flip,4895.0,That's enough to put you on the cover of Time magazine as the financial genius of the century.,25210.0,The financial genius of the century should be allowed to feature on the cover of Time.,The financial genius of the century would not be allowed to feature on the cover of Time.,1.0,3.0,content-words,entailment,neutral,True,contradiction
115,Certain-Flip,4895.0,That's enough to put you on the cover of Time magazine as the financial genius of the century.,25218.0,Normally the financial genius of the century would not be allowed to feature on the cover of Time.,The financial genius of the century would not be allowed to feature on the cover of Time.,2.0,3.0,content-words,neutral,contradiction,True,contradiction
