,Unnamed: 0,review-num,sentence-num,pred-model,fill-model,original,mask-filled,token_changes,n_gram,Word2Vec-Score,Bert-Score,gold-label,fill_prob,orig-label,new-label,orig-label-prob,new-label-prob,label-changed,label-prob-diff
256,256,1,1,imdb-BaseBert,BaseBart,Did you all expected a super-hit flawless movie??,Did you all expected a super-hero movie??,"('hit flawless movie', 'super-hero movie??')",3,0.9750728350479996,0.9558485746383668,0,-0.6021261215209961,1,0,0.99,0.09,True,0.9
261,261,1,1,imdb-BaseBert,BaseBart,Did you all expected a super-hit flawless movie??,Did you all expected a super-hero movie??,"('hit flawless movie', 'super-hero movie??')",3,0.9750728350479996,0.9558485746383668,0,-0.6021261215209961,1,0,0.99,0.09,True,0.9
284,284,1,2,imdb-BaseBert,BaseBart,"No way, you already can see, Raj Kumar Kohli loves multi-starrer movies...","No way, you already can see, Raj Kumar Kohli-starrer movies...","('loves multi', 'Kohli-starrer')",2,0.9861513974154926,0.9510758519172668,0,-0.2193782776594162,1,0,0.98,0.15,True,0.83
286,286,1,2,imdb-BaseBert,BaseBart,"No way, you already can see, Raj Kumar Kohli loves multi-starrer movies...","No way, you already can see, Raj Kumar's star-starrer movies...","('Kohli loves multi', ""Kumar's star-starrer"")",3,0.9633639414461084,0.9482994079589844,0,-0.2498748153448105,1,0,0.98,0.17,True,0.8099999999999999
287,287,1,2,imdb-BaseBert,BaseBart,"No way, you already can see, Raj Kumar Kohli loves multi-starrer movies...","No way, you already can see, Raj Kumar Kohli-starrer movies...","('loves multi-', 'Kohli-starrer')",3,0.9861513974154926,0.9510758519172668,0,-0.16842588782310486,1,0,0.98,0.15,True,0.83
289,289,1,2,imdb-BaseBert,BaseBart,"No way, you already can see, Raj Kumar Kohli loves multi-starrer movies...","No way, you already can see, Raj Kumar Kohli-starrer movies...","('loves multi', 'Kohli-starrer')",2,0.9861513974154926,0.9510758519172668,0,-0.2193782776594162,1,0,0.98,0.15,True,0.83
291,291,1,2,imdb-BaseBert,BaseBart,"No way, you already can see, Raj Kumar Kohli loves multi-starrer movies...","No way, you already can see, Raj Kumar's star-starrer movies...","('Kohli loves multi', ""Kumar's star-starrer"")",3,0.9633639414461084,0.9482994079589844,0,-0.2498748153448105,1,0,0.98,0.17,True,0.8099999999999999
292,292,1,2,imdb-BaseBert,BaseBart,"No way, you already can see, Raj Kumar Kohli loves multi-starrer movies...","No way, you already can see, Raj Kumar Kohli-starrer movies...","('loves multi-', 'Kohli-starrer')",3,0.9861513974154926,0.9510758519172668,0,-0.16842588782310486,1,0,0.98,0.15,True,0.83
297,297,1,2,imdb-BaseBert,BaseBart,"No way, you already can see, Raj Kumar Kohli loves multi-starrer movies...","No way, you already can see, Raj Kumar Kohli-starrer movies...","('loves multi-', 'Kohli-starrer')",3,0.9861513974154926,0.9510758519172668,0,-0.16842588782310486,1,0,0.98,0.15,True,0.83
421,421,1,7,imdb-BaseBert,BaseBart,But i think it could have been much much better.,But I think it could have been much much better.,"('i think', 'I think')",2,1.0000000661067368,0.9881635308265686,0,-0.21441130340099332,1,0,0.93,0.1,True,0.8300000000000001
423,423,1,7,imdb-BaseBert,BaseBart,But i think it could have been much much better.,But it could have been much much better.,"('But i think', 'But')",3,0.9894029751200171,0.9719200730323792,0,-0.2297634482383728,1,0,0.93,0.02,True,0.91
424,424,1,7,imdb-BaseBert,BaseBart,But i think it could have been much much better.,But it could have been much much better.,"('i think it', 'it')",3,0.9894029751200171,0.9719200730323792,0,-0.14038808643817902,1,0,0.93,0.02,True,0.91
440,440,1,8,imdb-BaseBert,BaseBart,"For instance, take the script, can't say its flawless.","For those who take the script, can't say its flawless.","('instance,', 'those who')",2,0.9797431607096946,0.9198331236839294,0,-0.24037916958332065,0,1,0.99,0.0,True,0.99
442,442,1,8,imdb-BaseBert,BaseBart,"For instance, take the script, can't say its flawless.","I take the script, can't say its flawless.","('For instance,', 'I')",3,0.973348093361336,0.9307459592819214,0,-0.1902659684419632,0,1,0.99,0.31,True,0.6799999999999999
452,452,1,8,imdb-BaseBert,BaseBart,"For instance, take the script, can't say its flawless.","For instance, take the iPhone and you can't say its flawless.","('script,', 'iPhone and you')",2,0.9706058706652312,0.9601913690567015,0,-0.3800680637359619,0,1,0.99,0.45,True,0.54
456,456,1,8,imdb-BaseBert,BaseBart,"For instance, take the script, can't say its flawless.","For instance, take the script, but you needn't say its flawless.","('ca', ""but you needn't"")",1,0.9923775659216492,0.9519739747047424,0,-0.16551479697227478,0,1,0.99,0.14,True,0.85
457,457,1,8,imdb-BaseBert,BaseBart,"For instance, take the script, can't say its flawless.","For instance, take the script, but you needn't say its flawless.","(', ca', ""script, but you needn't"")",2,0.9923775659216492,0.9519739747047424,0,-0.2666390240192413,0,1,0.99,0.14,True,0.85
458,458,1,8,imdb-BaseBert,BaseBart,"For instance, take the script, can't say its flawless.","For instance, take the script, and say its flawless.","(""can't"", 'and')",2,0.9792294821204816,0.956678569316864,0,-0.060348551720380776,0,1,0.99,0.01,True,0.98
460,460,1,8,imdb-BaseBert,BaseBart,"For instance, take the script, can't say its flawless.","For instance, take the script and say its flawless.","("", can't"", 'script and')",3,0.9755920248006,0.9515302777290344,0,-0.08829090744256972,0,1,0.99,0.01,True,0.98
461,461,1,8,imdb-BaseBert,BaseBart,"For instance, take the script, can't say its flawless.","For instance, take the script, and its flawless.","(""can't say"", 'and')",3,0.9590656780620084,0.9485915303230286,0,-0.18875443935394287,0,1,0.99,0.0,True,0.99
463,463,1,8,imdb-BaseBert,BaseBart,"For instance, take the script, can't say its flawless.","For instance, take the script, caustic, and its flawless.","(""n't say"", 'caustic, and')",2,0.9394905134288832,0.9119375348091124,0,-0.20182767510414126,0,1,0.99,0.01,True,0.98
465,465,1,8,imdb-BaseBert,BaseBart,"For instance, take the script, can't say its flawless.","For instance, take the script, and its flawless.","(""can't say"", 'and')",3,0.9590656780620084,0.9485915303230286,0,-0.18875443935394287,0,1,0.99,0.0,True,0.99
466,466,1,8,imdb-BaseBert,BaseBart,"For instance, take the script, can't say its flawless.","For instance, take the script, caustic and flawless.","(""n't say its"", 'caustic and')",3,0.9372532601812236,0.9223161339759828,0,-0.16866129636764526,0,1,0.99,0.0,True,0.99
474,474,1,10,imdb-BaseBert,BaseBart,A solid 5.5 is good for this one.**.75,A rating of 5.5 is good for this one.**.75,"('solid', 'rating of')",1,0.9458100962207698,0.965769350528717,0,-0.2164703905582428,1,0,0.58,0.05,True,0.5299999999999999
475,475,1,10,imdb-BaseBert,BaseBart,A solid 5.5 is good for this one.**.75,** 5.5 is good for this one.**.75,"('A solid', '**')",2,0.8596733769521799,0.9783099889755248,0,-0.2276986539363861,1,0,0.58,0.12,True,0.45999999999999996
478,478,1,10,imdb-BaseBert,BaseBart,A solid 5.5 is good for this one.**.75,**.75 is good for this one.**.75,"('A solid 5.5', '**.75')",3,0.8081500602690589,0.9552456140518188,0,-0.32628536224365234,1,0,0.58,0.11,True,0.47
480,480,1,10,imdb-BaseBert,BaseBart,A solid 5.5 is good for this one.**.75,A solid 5.5 is enough for this one.**.75,"('good', 'enough')",1,0.9887880343002109,0.9872851371765136,0,-0.22526288032531736,1,0,0.58,0.03,True,0.5499999999999999
482,482,1,10,imdb-BaseBert,BaseBart,A solid 5.5 is good for this one.**.75,A solid 5.5 is better than this one.**.75,"('good for', 'better than')",2,0.9648781318556728,0.9566444754600524,0,-0.27457872033119196,1,0,0.58,0.08,True,0.49999999999999994
489,489,1,10,imdb-BaseBert,BaseBart,A solid 5.5 is good for this one.**.75,A solid 5.5 is good enough.,"('for this one.**.75', 'enough.')",3,0.957010423801942,0.9499572515487672,0,-0.1794070452451706,1,0,0.58,0.23,True,0.35
515,515,2,1,imdb-BaseBert,BaseBart,Painful is the only word to describe this awful rendition of such a fun and interesting Shakespearean play.,Painful is the only word to describe this rendition of such a fun and interesting Shakespearean play.,"('describe this awful', 'describe this')",3,0.997393390156836,0.9801093935966492,0,-0.08187907934188843,0,1,1.0,0.0,True,1.0
516,516,2,1,imdb-BaseBert,BaseBart,Painful is the only word to describe this awful rendition of such a fun and interesting Shakespearean play.,Painful is the only word to describe this wonderful rendition of such a fun and interesting Shakespearean play.,"('awful', 'wonderful')",1,0.9952099626871348,0.979383945465088,0,-0.1708686798810959,0,1,1.0,0.0,True,1.0
517,517,2,1,imdb-BaseBert,BaseBart,Painful is the only word to describe this awful rendition of such a fun and interesting Shakespearean play.,Painful is the only word to describe this rendition of such a fun and interesting Shakespearean play.,"('this awful', 'this')",2,0.997393390156836,0.9801093935966492,0,-0.11378493160009386,0,1,1.0,0.0,True,1.0
518,518,2,1,imdb-BaseBert,BaseBart,Painful is the only word to describe this awful rendition of such a fun and interesting Shakespearean play.,Painful is the only word to describe this performance of such a fun and interesting Shakespearean play.,"('awful rendition', 'performance')",2,0.9898124543051564,0.9709136486053468,0,-0.1513209491968155,0,1,1.0,0.0,True,1.0
519,519,2,1,imdb-BaseBert,BaseBart,Painful is the only word to describe this awful rendition of such a fun and interesting Shakespearean play.,Painful is the only word to describe this rendition of such a fun and interesting Shakespearean play.,"('describe this awful', 'describe this')",3,0.997393390156836,0.9801093935966492,0,-0.08187907934188843,0,1,1.0,0.0,True,1.0
520,520,2,1,imdb-BaseBert,BaseBart,Painful is the only word to describe this awful rendition of such a fun and interesting Shakespearean play.,Painful is the only word to describe the experience of such a fun and interesting Shakespearean play.,"('this awful rendition', 'the experience')",3,0.9857379427113072,0.958449363708496,0,-0.15580174326896667,0,1,1.0,0.0,True,1.0
521,521,2,1,imdb-BaseBert,BaseBart,Painful is the only word to describe this awful rendition of such a fun and interesting Shakespearean play.,Painful is the only word to describe this performance of such a fun and interesting Shakespearean play.,"('awful rendition of', 'performance of')",3,0.9898124543051564,0.9709136486053468,0,-0.19741453230381006,0,1,1.0,0.0,True,1.0
523,523,2,1,imdb-BaseBert,BaseBart,Painful is the only word to describe this awful rendition of such a fun and interesting Shakespearean play.,Painful is the only word to describe this performance of such a fun and interesting Shakespearean play.,"('awful rendition', 'performance')",2,0.9898124543051564,0.9709136486053468,0,-0.1513209491968155,0,1,1.0,0.0,True,1.0
524,524,2,1,imdb-BaseBert,BaseBart,Painful is the only word to describe this awful rendition of such a fun and interesting Shakespearean play.,Painful is the only word to describe this awful scene in such a fun and interesting Shakespearean play.,"('rendition of', 'scene in')",2,0.9905261386688003,0.9767102599143982,0,-0.13733835518360138,0,1,1.0,0.02,True,0.98
525,525,2,1,imdb-BaseBert,BaseBart,Painful is the only word to describe this awful rendition of such a fun and interesting Shakespearean play.,Painful is the only word to describe the experience of such a fun and interesting Shakespearean play.,"('this awful rendition', 'the experience')",3,0.9857379427113072,0.958449363708496,0,-0.15580174326896667,0,1,1.0,0.0,True,1.0
526,526,2,1,imdb-BaseBert,BaseBart,Painful is the only word to describe this awful rendition of such a fun and interesting Shakespearean play.,Painful is the only word to describe this performance of such a fun and interesting Shakespearean play.,"('awful rendition of', 'performance of')",3,0.9898124543051564,0.9709136486053468,0,-0.19741453230381006,0,1,1.0,0.0,True,1.0
534,534,2,1,imdb-BaseBert,BaseBart,Painful is the only word to describe this awful rendition of such a fun and interesting Shakespearean play.,Painful is the only word to describe this awful rendition of such a fun and wonderful Shakespearean play.,"('interesting', 'wonderful')",1,0.9969630596948914,0.9912530779838562,0,-0.1567278653383255,0,1,1.0,0.02,True,0.98
630,630,2,4,imdb-BaseBert,BaseBart,"Ado was, I pity you and your bored brain.","Ado was, I think, just you and your bored brain.","('pity', 'think, just')",1,0.9807225254695838,0.9165144562721252,0,-0.370337575674057,0,1,0.99,0.21,True,0.78
634,634,2,4,imdb-BaseBert,BaseBart,"Ado was, I pity you and your bored brain.","Ado was, of course, for you and your bored brain.","('I pity you', 'of course, for you')",3,0.94836302829844,0.915793478488922,0,-0.3019322454929352,0,1,0.99,0.29,True,0.7
648,648,2,5,imdb-BaseBert,BaseBart,May your pretenses about young viewers be lifted without retribution.,Let your pretenses about young viewers be lifted without retribution.,"('May', 'Let')",1,0.988647404661807,0.9982935190200806,0,-0.161940336227417,1,0,0.96,0.02,True,0.94
650,650,2,5,imdb-BaseBert,BaseBart,May your pretenses about young viewers be lifted without retribution.,Let the pretenses about young viewers be lifted without retribution.,"('May your', 'Let the')",2,0.9817978594356412,0.9803183078765868,0,-0.3638073205947876,1,0,0.96,0.16,True,0.7999999999999999
653,653,2,5,imdb-BaseBert,BaseBart,May your pretenses about young viewers be lifted without retribution.,Let the law about young viewers be lifted without retribution.,"('May your pretenses', 'Let the law')",3,0.9531371980045591,0.9476169347763062,0,-0.5119524002075195,1,0,0.96,0.16,True,0.7999999999999999
657,657,2,5,imdb-BaseBert,BaseBart,May your pretenses about young viewers be lifted without retribution.,Let the law about young viewers be lifted without retribution.,"('May your pretenses', 'Let the law')",3,0.9531371980045591,0.9476169347763062,0,-0.5119524002075195,1,0,0.96,0.16,True,0.7999999999999999
658,658,2,5,imdb-BaseBert,BaseBart,May your pretenses about young viewers be lifted without retribution.,May the ban on young viewers be lifted without retribution.,"('your pretenses about', 'the ban on')",3,0.9386144889925012,0.938399851322174,0,-0.22250735759735107,1,0,0.96,0.37,True,0.59
671,671,2,5,imdb-BaseBert,BaseBart,May your pretenses about young viewers be lifted without retribution.,May your pretenses about young people be honored without retribution.,"('viewers be lifted', 'people be honored')",3,0.9616283821347216,0.9666388034820556,0,-0.3819509148597717,1,0,0.96,0.47,True,0.49
674,674,2,5,imdb-BaseBert,BaseBart,May your pretenses about young viewers be lifted without retribution.,May your pretenses about young viewers be tested for retribution.,"('lifted without', 'tested for')",2,0.9675652672535828,0.9537447690963744,0,-0.4246971905231476,1,0,0.96,0.15,True,0.8099999999999999
675,675,2,5,imdb-BaseBert,BaseBart,May your pretenses about young viewers be lifted without retribution.,May your pretenses about young people be honored without retribution.,"('viewers be lifted', 'people be honored')",3,0.9616283821347216,0.9666388034820556,0,-0.3819509148597717,1,0,0.96,0.47,True,0.49
707,707,2,6,imdb-BaseBert,BaseBart,"Please do not even bother with this gut wrenching, disgusting excuse for a performance of an acclaimed Shakespeare drama.","Please do not even bother with this gut wrenching, heart wrenching performance. This is a performance of an acclaimed Shakespeare drama.","('disgusting excuse for', 'heart wrenching performance. This is')",3,0.9774299823297764,0.9508950710296632,0,-0.3798750638961792,0,1,1.0,0.0,True,1.0
712,712,2,6,imdb-BaseBert,BaseBart,"Please do not even bother with this gut wrenching, disgusting excuse for a performance of an acclaimed Shakespeare drama.","Please do not even bother with this gut wrenching, heart wrenching performance. This is a performance of an acclaimed Shakespeare drama.","('disgusting excuse for', 'heart wrenching performance. This is')",3,0.9774299823297764,0.9508950710296632,0,-0.3798750638961792,0,1,1.0,0.0,True,1.0
850,850,3,3,imdb-BaseBert,BaseBart,The warmth of the setting in the original is forsaken for a super-modern homesetting.,"However, the setting in the original is forsaken for a super-modern homesetting.","('The warmth of', 'However,')",3,0.9757237880241684,0.9696016907691956,0,-0.18640582263469696,0,1,0.96,0.19,True,0.77
860,860,3,3,imdb-BaseBert,BaseBart,The warmth of the setting in the original is forsaken for a super-modern homesetting.,The warmth of the setting in the film is not forsaken for a super-modern homesetting.,"('original is', 'film is not')",2,0.9882222403769436,0.9634858965873718,0,-0.2691344916820526,0,1,0.96,0.0,True,0.96
862,862,3,3,imdb-BaseBert,BaseBart,The warmth of the setting in the original is forsaken for a super-modern homesetting.,The warmth of the setting in the film is not forsaken for a super-modern homesetting.,"('the original is', 'the film is not')",3,0.9882222403769436,0.9634858965873718,0,-0.3400751054286957,0,1,0.96,0.0,True,0.96
863,863,3,3,imdb-BaseBert,BaseBart,The warmth of the setting in the original is forsaken for a super-modern homesetting.,The warmth of the setting in the film makes for a super-modern homesetting.,"('original is forsaken', 'film makes')",3,0.9771950755261652,0.9430104494094848,0,-0.20118078589439392,0,1,0.96,0.0,True,0.96
864,864,3,3,imdb-BaseBert,BaseBart,The warmth of the setting in the original is forsaken for a super-modern homesetting.,The warmth of the setting in the original is perfect for a super-modern homesetting.,"('forsaken', 'perfect')",1,0.9904555555038717,0.9548075199127196,0,-0.1624990701675415,0,1,0.96,0.01,True,0.95
865,865,3,3,imdb-BaseBert,BaseBart,The warmth of the setting in the original is forsaken for a super-modern homesetting.,The warmth of the setting in the original makes for a super-modern homesetting.,"('is forsaken', 'makes')",2,0.9894559301622671,0.9560973644256592,0,-0.1960624605417252,0,1,0.96,0.0,True,0.96
866,866,3,3,imdb-BaseBert,BaseBart,The warmth of the setting in the original is forsaken for a super-modern homesetting.,The warmth of the setting in the original is matched by a super-modern homesetting.,"('forsaken for', 'matched by')",2,0.9785789879831598,0.9685821533203124,0,-0.1801307499408722,0,1,0.96,0.0,True,0.96
867,867,3,3,imdb-BaseBert,BaseBart,The warmth of the setting in the original is forsaken for a super-modern homesetting.,The warmth of the setting in the film makes for a super-modern homesetting.,"('original is forsaken', 'film makes')",3,0.9771950755261652,0.9430104494094848,0,-0.20118078589439392,0,1,0.96,0.0,True,0.96
868,868,3,3,imdb-BaseBert,BaseBart,The warmth of the setting in the original is forsaken for a super-modern homesetting.,The warmth of the setting in the original is matched by a super-modern homesetting.,"('is forsaken for', 'is matched by')",3,0.9785789879831598,0.9685821533203124,0,-0.2872601747512817,0,1,0.96,0.0,True,0.96
869,869,3,3,imdb-BaseBert,BaseBart,The warmth of the setting in the original is forsaken for a super-modern homesetting.,The warmth of the setting in the original is matched by the super-modern homesetting.,"('forsaken for a', 'the matched by')",3,0.9760327318308756,0.9630676507949828,0,-0.2532218098640442,0,1,0.96,0.0,True,0.96
882,882,3,3,imdb-BaseBert,BaseBart,The warmth of the setting in the original is forsaken for a super-modern homesetting.,"The warmth of the setting in the original is forsaken for a super-warm, homesetting.","('modern', 'super-warm,')",1,0.9854394762331948,0.979083776473999,0,-0.21105822920799253,0,1,0.96,0.08,True,0.88
895,895,3,6,imdb-BaseBert,BaseBart,"This version of Sleuth is not really worth seeing, watch the original film and be dazzled from the opening act.","If the remake of Sleuth is not really worth seeing, watch the original film and be dazzled from the opening act.","('This version', 'If the remake')",2,0.9935432461614958,0.9754631519317628,0,-0.14066125452518466,0,1,1.0,0.01,True,0.99
902,902,3,6,imdb-BaseBert,BaseBart,"This version of Sleuth is not really worth seeing, watch the original film and be dazzled from the opening act.","This version of Sleuth is not really a movie. Instead, watch the original film and be dazzled from the opening act.","('worth seeing', 'a movie. Instead,')",2,0.9908307986886348,0.9677759408950806,0,-0.22513240575790405,0,1,1.0,0.01,True,0.99
903,903,3,6,imdb-BaseBert,BaseBart,"This version of Sleuth is not really worth seeing, watch the original film and be dazzled from the opening act.","This version of Sleuth is worth seeing, watch the original film and be dazzled from the opening act.","('not really worth', 'worth')",3,0.9961939760942776,0.9787572026252748,0,-0.09116585552692412,0,1,1.0,0.01,True,0.99
904,904,3,6,imdb-BaseBert,BaseBart,"This version of Sleuth is not really worth seeing, watch the original film and be dazzled from the opening act.","This version of Sleuth is not for the faint of heart. Instead, watch the original film and be dazzled from the opening act.","('really worth seeing', 'of for the faint heart. Instead,')",3,0.981662786541875,0.9587880969047546,0,-0.18069182336330414,0,1,1.0,0.0,True,1.0
905,905,3,6,imdb-BaseBert,BaseBart,"This version of Sleuth is not really worth seeing, watch the original film and be dazzled from the opening act.",This version of Sleuth is not really a movie. You can watch the original film and be dazzled from the opening act.,"('worth seeing,', 'a movie. You can')",3,0.9883773196965088,0.9620832204818726,0,-0.24478602409362796,0,1,1.0,0.04,True,0.96
907,907,3,6,imdb-BaseBert,BaseBart,"This version of Sleuth is not really worth seeing, watch the original film and be dazzled from the opening act.","This version of Sleuth is not really a movie. Instead, watch the original film and be dazzled from the opening act.","('worth seeing', 'a movie. Instead,')",2,0.9908307986886348,0.9677759408950806,0,-0.22513240575790405,0,1,1.0,0.01,True,0.99
909,909,3,6,imdb-BaseBert,BaseBart,"This version of Sleuth is not really worth seeing, watch the original film and be dazzled from the opening act.","This version of Sleuth is not for the faint of heart. Instead, watch the original film and be dazzled from the opening act.","('really worth seeing', 'of for the faint heart. Instead,')",3,0.981662786541875,0.9587880969047546,0,-0.18069182336330414,0,1,1.0,0.0,True,1.0
910,910,3,6,imdb-BaseBert,BaseBart,"This version of Sleuth is not really worth seeing, watch the original film and be dazzled from the opening act.",This version of Sleuth is not really a movie. You can watch the original film and be dazzled from the opening act.,"('worth seeing,', 'a movie. You can')",3,0.9883773196965088,0.9620832204818726,0,-0.24478602409362796,0,1,1.0,0.04,True,0.96
917,917,3,6,imdb-BaseBert,BaseBart,"This version of Sleuth is not really worth seeing, watch the original film and be dazzled from the opening act.","This version of Sleuth is not really worth seeing, but you can watch the film and be dazzled from the opening act.","('watch the original', 'but you can watch the')",3,0.9921956519985644,0.9694988131523132,0,-0.16645333170890808,0,1,1.0,0.02,True,0.98
921,921,3,6,imdb-BaseBert,BaseBart,"This version of Sleuth is not really worth seeing, watch the original film and be dazzled from the opening act.","This version of Sleuth is not really worth seeing, but you can watch the film and be dazzled from the opening act.","('watch the original', 'but you can watch the')",3,0.9921956519985644,0.9694988131523132,0,-0.16645333170890808,0,1,1.0,0.02,True,0.98
974,974,4,0,imdb-BaseBert,BaseBart,"I know a couple people who look just like the lead actress in this film (or, at least, like the character she portrays.)","I know a couple people who look just like the characters in this film (or, at least, like the character she portrays.)","('lead actress', 'characters')",2,0.994036828152422,0.9843400120735168,0,-0.10523586720228197,0,1,0.9,0.49,True,0.41000000000000003
977,977,4,0,imdb-BaseBert,BaseBart,"I know a couple people who look just like the lead actress in this film (or, at least, like the character she portrays.)","I know a couple people who look just like the characters in this film (or, at least, like the character she portrays.)","('lead actress in', 'characters in')",3,0.994036828152422,0.9843400120735168,0,-0.07469034194946289,0,1,0.9,0.49,True,0.41000000000000003
979,979,4,0,imdb-BaseBert,BaseBart,"I know a couple people who look just like the lead actress in this film (or, at least, like the character she portrays.)","I know a couple people who look just like the characters in this film (or, at least, like the character she portrays.)","('lead actress', 'characters')",2,0.994036828152422,0.9843400120735168,0,-0.10523586720228197,0,1,0.9,0.49,True,0.41000000000000003
982,982,4,0,imdb-BaseBert,BaseBart,"I know a couple people who look just like the lead actress in this film (or, at least, like the character she portrays.)","I know a couple people who look just like the characters in this film (or, at least, like the character she portrays.)","('lead actress in', 'characters in')",3,0.994036828152422,0.9843400120735168,0,-0.07469034194946289,0,1,0.9,0.49,True,0.41000000000000003
1014,1014,4,1,imdb-BaseBert,BaseBart,They all give me the creeps,They all give me the same thing.,"('creeps', 'same thing.')",1,0.9522055411103212,0.9218870401382446,0,-0.31944581866264343,0,1,0.9,0.02,True,0.88
1015,1015,4,1,imdb-BaseBert,BaseBart,They all give me the creeps,They all give me money.,"('the creeps', 'money.')",2,0.9253681467078542,0.9157984256744384,0,-0.4894153475761414,0,1,0.9,0.22,True,0.68
1016,1016,4,1,imdb-BaseBert,BaseBart,They all give me the creeps,They all give me the same thing.,"('creeps', 'same thing.')",2,0.9522055411103212,0.9218870401382446,0,-0.31944581866264343,0,1,0.9,0.02,True,0.88
1017,1017,4,1,imdb-BaseBert,BaseBart,They all give me the creeps,They all give.,"('me the creeps', 'give.')",3,0.907044529041856,0.9018165469169616,0,-0.3383302688598633,0,1,0.9,0.02,True,0.88
